name_gpu,num_gpu,ssd,bert_base_squad,bert_large_squad,gnmt,maskrcnn,ncf,resnet50,tacotron2,transformerxlbase,transformerxllarge,waveglow
2xV100,2.0,440.0,291.0,89.0,156034.0,26.0,34132967.0,1656.0,54073.0,20555.0,8670.0,190619.0
TitanRTX,1.0,181.0,123.0,40.0,70149.0,12.0,16192798.0,644.0,22208.0,8877.0,3579.0,81980.0
2x2080Ti_trt2,2.0,274.0,143.0,6.0,61886.0,17.0,25827339.0,1017.0,24908.0,11236.0,0.0,67896.0
4xQuadroRTX8000NVlink_trt2,4.0,663.0,385.0,133.0,284079.0,38.0,78983693.0,2522.0,114493.0,36017.0,15986.0,271049.0
8xQuadroRTX8000_trt2,8.0,1386.0,657.0,198.0,559623.0,73.0,158389367.0,5045.0,213522.0,73418.0,32304.0,709700.0
LambdaCloud_4xQuadroRTX6000,4.0,687.0,310.0,82.0,192344.0,38.0,51213835.0,1957.0,85643.0,34745.0,14040.0,264050.0
2x2080TiNVlink_trt,2.0,251.0,142.0,6.0,59398.0,16.0,25758426.0,836.0,25361.0,10784.0,0.0,65106.0
LambdaCloud_2xQuadroRTX6000,2.0,349.0,187.0,50.0,101253.0,20.0,27455021.0,868.0,42477.0,17637.0,7136.0,133765.0
8x2080Ti_trt2,8.0,1038.0,341.0,6.0,154838.0,54.0,90041366.0,3765.0,62171.0,44228.0,0.0,178511.0
LambdaCloud_8xV10016G,8.0,1331.0,952.0,233.0,406589.0,99.0,184147799.0,6861.0,115818.0,65746.0,19387.0,508129.0
4x2080TiNVlink_trt,4.0,509.0,262.0,6.0,120134.0,33.0,52981415.0,1623.0,38829.0,21715.0,0.0,131998.0
4x2080TiNVlink_trt2,4.0,534.0,254.0,6.0,106837.0,31.0,52651449.0,1797.0,36466.0,22463.0,0.0,129617.0
2080SuperMaxQ,1.0,77.0,48.0,0.0,18226.0,6.0,0.0,297.0,8294.0,0.0,0.0,0.0
8xA100_PCIe,8.0,2891.0,2153.0,646.0,1239601.0,126.0,427689070.0,8344.0,228398.0,251300.0,116737.0,1164764.0
2xQuadroRTX8000NVlink_trt,2.0,354.0,231.0,75.0,146495.0,22.0,39489398.0,1272.0,67093.0,18279.0,8040.0,144744.0
2x2080TiNVlink_trt2,2.0,275.0,156.0,6.0,77486.0,17.0,28117102.0,930.0,24751.0,11157.0,0.0,82015.0
QuadroRTX5000,1.0,126.0,86.0,25.0,37135.0,9.0,10884543.0,439.0,15410.0,6085.0,979.0,51401.0
4xQuadroRTX8000_trt,4.0,675.0,376.0,135.0,285048.0,39.0,78669426.0,2533.0,114868.0,36433.0,16045.0,270176.0
8xQuadroRTX8000NVlink_trt2,8.0,1206.0,525.0,183.0,554690.0,69.0,158350950.0,5042.0,219811.0,72769.0,32077.0,503908.0
p3.8xlarge,4.0,890.0,578.0,148.0,208731.0,52.0,92920829.0,3293.0,52275.0,32697.0,9244.0,285891.0
