name_gpu,ssd,bert_base_squad,bert_large_squad,gnmt,maskrcnn,ncf,resnet50,tacotron2,transformerxlbase,transformerxllarge,waveglow
V100,136.0,42.0,12.0,22743.0,10.0,9799945.0,368.0,17604.0,6518.0,2329.0,48458.0
QuadroRTX8000,116.0,38.0,11.0,21808.0,10.0,8377572.0,300.0,10016.0,6124.0,2158.0,45876.0
QuadroRTX6000,118.0,38.0,10.0,21014.0,10.0,8260887.0,301.0,8954.0,5684.0,1816.0,38687.0
QuadroRTX5000,83.0,26.0,6.0,14320.0,7.0,5508657.0,213.0,6841.0,3188.0,1034.0,25736.0
TitanRTX,119.0,39.0,11.0,21329.0,10.0,8418704.0,306.0,8732.0,5801.0,1878.0,40381.0
2080Ti,106.0,30.0,6.0,15983.0,8.0,7534435.0,275.0,8669.0,4109.0,0.0,26236.0
1080Ti,70.0,28.0,5.0,11948.0,7.0,4265333.0,196.0,5828.0,2774.0,0.0,19581.0
2080SuperMaxQ,56.0,15.0,0.0,7413.0,5.0,0.0,149.0,5105.0,1770.0,0.0,0.0
2080MaxQ,54.0,15.0,0.0,7194.0,4.0,0.0,146.0,4944.0,1584.0,0.0,0.0
2070MaxQ,49.0,14.0,0.0,6678.0,4.0,0.0,135.0,5003.0,1559.0,0.0,0.0
2x2080TiNVlink_trt,196.0,48.0,6.0,22843.0,15.0,11806932.0,498.0,16368.0,7790.0,0.0,36477.0
2x2080TiNVlink_trt2,210.0,56.0,10.0,29840.0,16.0,14645496.0,540.0,15660.0,8193.0,0.0,46675.0
2x2080Ti_trt,196.0,49.0,6.0,22863.0,15.0,11764705.0,497.0,16355.0,7803.0,0.0,36555.0
2x2080Ti_trt2,206.0,50.0,6.0,24103.0,15.0,11867597.0,526.0,17421.0,8222.0,0.0,37625.0
4x2080TiNVlink_trt,399.0,97.0,12.0,45391.0,30.0,23566692.0,1005.0,31810.0,15503.0,0.0,72595.0
4x2080TiNVlink_trt2,398.0,90.0,10.0,42249.0,30.0,22813664.0,1040.0,32482.0,16223.0,0.0,72443.0
4x2080Ti_trt,393.0,89.0,11.0,42595.0,29.0,21920198.0,996.0,31517.0,15514.0,0.0,67466.0
4x2080Ti_trt2,377.0,72.0,6.0,31445.0,27.0,16841417.0,993.0,29751.0,16385.0,0.0,51388.0
8x2080TiNVlink_trt,812.0,169.0,21.0,90385.0,58.0,48254509.0,2018.0,58457.0,30762.0,0.0,138428.0
8x2080TiNVlink_trt2,776.0,151.0,17.0,79005.0,52.0,43835715.0,2005.0,60360.0,31958.0,0.0,121197.0
