,PyTorch_SSD_AMP (images/sec),PyTorch_SSD_FP32 (images/sec),PyTorch_bert_base_squad_FP16 (sequences/sec),PyTorch_bert_base_squad_FP32 (sequences/sec),PyTorch_bert_large_squad_FP16 (sequences/sec),PyTorch_bert_large_squad_FP32 (sequences/sec),PyTorch_gnmt_FP16 (tokens/sec),PyTorch_gnmt_FP32 (tokens/sec),PyTorch_maskrcnn_FP16 (images/sec),PyTorch_maskrcnn_FP32 (images/sec),PyTorch_ncf_FP16 (samples/sec),PyTorch_ncf_FP32 (samples/sec),PyTorch_resnet50_AMP (images/sec),PyTorch_resnet50_FP16 (images/sec),PyTorch_resnet50_FP32 (images/sec),PyTorch_tacotron2_FP16 (samples/sec),PyTorch_tacotron2_FP32 (samples/sec),PyTorch_transformerxlbase_FP16 (tokens/sec),PyTorch_transformerxlbase_FP32 (tokens/sec),PyTorch_transformerxllarge_FP16 (tokens/sec),PyTorch_transformerxllarge_FP32 (tokens/sec),PyTorch_waveglow_FP16 (samples/sec),PyTorch_waveglow_FP32 (samples/sec)
8xV100,1558.09,1043.26,985.55,304.76,334.52,88.3,609054.39,171783.83,92.05,74.29,137800045.14,60883994.5,6573.86,6569.94,2862.86,195941.69,129549.77,80030.46,50356.61,33928.57,18105.71,703507.83,277702.86
4xV100,858.93,535.53,533.06,156.52,178.21,46.03,312281.69,86930.91,51.98,38.3,68671226.09,45019267.16,3311.76,3293.43,1441.61,99733.33,62875.87,40414.04,25417.08,17086.07,9113.04,369362.16,175882.74
2xV100,440.77,271.2,291.56,81.64,89.43,23.55,156034.84,43797.96,26.63,19.47,34132967.71,20432626.75,1660.24,1656.82,726.86,54073.44,33063.4,20555.18,12912.76,8670.7,4605.65,190619.87,92699.23
V100,224.66,136.75,148.72,42.39,49.6,12.36,81625.92,22743.98,14.37,10.15,20491424.44,9799945.0,840.21,828.71,368.66,27249.79,17604.69,10348.36,6518.31,4372.39,2329.11,100553.7,48458.01
QuadroRTX8000,151.57,89.47,123.15,35.94,33.54,9.8,63161.98,18748.99,9.56,9.24,13814707.6,7222512.68,579.19,392.82,246.63,17505.92,4553.05,6778.73,4579.7,3462.19,1979.88,75021.72,41170.85
QuadroRTX6000,179.84,118.46,121.35,38.97,39.54,10.74,71300.93,21014.98,12.44,10.43,15669330.49,8260887.85,646.44,645.73,301.78,25203.32,8954.06,8605.34,5684.1,3481.43,1816.97,78139.59,38687.9
QuadroRTX5000,125.32,83.33,83.72,26.79,8.64,6.66,36693.32,14261.66,8.8,7.0,10612526.03,5416593.72,436.7,425.41,211.97,13327.61,6548.71,6173.56,3184.85,1500.05,1032.66,40999.56,20456.13
TitanRTX,183.18,120.95,133.64,42.81,45.97,13.89,72913.31,21694.99,12.7,10.51,15752372.75,8213843.09,650.77,649.81,307.5,23509.17,8938.0,8882.77,5819.45,3580.19,1859.67,83869.38,42931.56
2080Ti,141.28,108.69,93.53,32.87,24.13,6.74,41867.96,16282.98,9.97,8.98,14449204.99,7651992.32,532.83,529.93,280.02,13334.4,9259.07,5867.61,4208.07,0.0,0.0,42288.38,25005.11
1080Ti,65.14,70.04,35.13,28.03,10.0,5.14,15369.66,11948.0,6.45,7.01,5216770.17,4265333.94,239.21,230.1,196.34,7938.88,5828.89,3412.71,2774.22,0.0,0.0,25184.42,19581.03
