name_gpu,num_gpu,watt,price,ssd,bert_base_squad,bert_large_squad,gnmt,resnet50,tacotron2,waveglow
Quadro RTX 8000,1.00,260.00,"6,037.50",182.00,146.00,50.00,"88,498.00",651.00,"18,587.00","43,964.00"
LambdaCloud V100 16GB,1.00,300.00,"9,937.50",229.00,189.00,57.00,"79,111.00",833.00,"12,611.00","47,253.00"
RTX 3090,1.00,350.00,"2,750.00",236.00,172.00,52.00,"86,080.00",905.00,"25,018.00","97,100.00"
LambdaCloud A10,1.00,150.00,"3,125.00",174.00,135.00,42.00,"67,836.00",638.00,"16,900.00","80,357.00"
LambdaCloud A100 40GB PCIe,1.00,250.00,"10,437.50",395.00,368.00,117.00,"186,947.00","1,396.00","38,131.00","195,108.00"
A100 80GB PCIe,1.00,300.00,"13,287.50",437.00,415.00,140.00,"227,949.00","1,527.00","58,956.00","234,859.00"
A100 80GB SXM4,1.00,400.00,"16,250.00",458.00,443.00,152.00,"243,500.00","1,582.00","59,716.00","244,438.00"
RTX 6000 Ada,1.00,300.00,"7,680.00",341.00,255.00,79.00,"160,184.00","1,146.00","40,331.00","156,904.00"
RTX A6000,1.00,300.00,"4,437.50",260.00,198.00,68.00,"116,438.00",916.00,"25,496.00","116,866.00"
RTX 4090,1.00,450.00,"2,125.00",379.00,297.00,93.00,"159,511.00","1,301.00","32,661.00","160,816.00"
H100 80GB PCIe Gen5,1.00,350.00,"30,918.00",566.00,567.00,203.00,"332,521.00","1,866.00","63,991.00","273,768.00"
LambdaCloud H100 80GB PCIe Gen5,1.00,350.00,"30,918.00",549.00,558.00,200.00,"302,013.00","1,851.00","63,200.00","276,658.00"
H100 80GB SXM5,1.00,700.00,"36,718.75",782.00,812.00,301.00,"467,071.00","2,616.00","78,108.00","393,500.00"
LambdaCloud 2x V100 16GB,2.00,600.00,"19,875.00",440.00,340.00,87.00,"108,835.00","1,571.00","24,282.00","82,358.00"
2x RTX 6000 Ada,2.00,600.00,"15,360.00",664.00,506.00,153.00,"280,958.00","2,301.00","70,662.00","268,158.00"
2x RTX A6000,2.00,600.00,"8,875.00",503.00,374.00,118.00,"177,238.00","1,775.00","47,559.00","195,553.00"
2x RTX 3090,2.00,700.00,"5,500.00",459.00,327.00,89.00,"138,466.00","1,751.00","50,118.00","172,960.00"
2x RTX 4090,2.00,900.00,"4,250.00",732.00,541.00,139.00,"210,089.00","2,468.00","65,266.00","263,655.00"
2x A100 80GB PCIe,2.00,600.00,"26,575.00",853.00,785.00,247.00,"344,266.00","2,979.00","107,623.00","414,528.00"
2x A100 80GB SXM4,2.00,800.00,"32,500.00",884.00,815.00,246.00,"338,035.00","3,038.00","109,014.00","401,392.00"
2x H100 80GB PCIe Gen5,2.00,700.00,"61,836.00","1,128.00","1,125.00",395.00,"633,491.00","3,707.00","112,874.00","533,897.00"
2x H100 80GB SXM5,2.00,"1,400.00","73,437.50","1,555.00","1,630.00",592.00,"887,119.00","5,179.00","99,155.00","735,411.00"
LambdaCloud 4xV100 16GB,4.00,"1,200.00","39,750.00",871.00,637.00,157.00,"205,663.00","3,107.00","45,505.00","165,996.00"
4x RTX 6000 Ada,4.00,"1,200.00","30,720.00","1,379.00","1,072.00",332.00,"619,916.00","4,548.00","58,979.00","366,195.00"
4x A100 80GB SXM4,4.00,"1,600.00","65,000.00","1,766.00","1,654.00",488.00,"700,678.00","6,070.00","205,614.00","847,717.00"
4x H100 80GB PCIe Gen5,4.00,"1,400.00","123,672.00","2,030.00","2,190.00",759.00,"1,242,573.00","7,378.00","215,939.00","1,087,912.00"
4x H100 80GB SXM5,4.00,"2,800.00","146,875.00","3,102.00","3,219.00","1,171.00","1,780,530.00","10,406.00","145,767.00","1,502,241.00"
LambdaCloud 8xV100 16GB,8.00,"2,400.00","79,500.00","1,715.00","1,204.00",286.00,"367,453.00","6,174.00","78,969.00","322,112.00"
8x RTX 6000 Ada,8.00,"2,400.00","61,440.00","2,724.00","2,146.00",642.00,"1,198,279.00","9,211.00","92,151.00","1,109,688.00"
8x A100 80GB SXM4,8.00,"3,200.00","130,000.00","3,360.00","4,273.00",746.00,"996,656.00","11,439.00","259,884.00","1,403,727.00"
8x H100 80GB PCIe Gen5,8.00,"2,800.00","247,344.00","4,092.00","6,182.00","1,522.00","2,377,554.00","14,713.00","244,326.00","2,183,524.00"
8x H100 80GB SXM5,8.00,"5,600.00","293,750.00","6,206.00","9,176.00","2,167.00","3,530,376.00","20,728.00","303,238.00","2,963,233.00"
LambdaCloud 8x H100 80GB SXM5,8.00,"5,600.00","293,750.00","3,890.00","9,346.00","2,343.00","3,549,926.00","21,845.00","307,249.00","3,456,744.00"
LambdaCloud 1x H100 80GB PCIe pytorch_24.03,1.00,350.00,"30,918.00",607.00,580.00,204.00,"325,525.00","1,976.00","55,032.00","308,718.00"
LambdaCloud 1x H100 80GB SXM5 pytorch_24.03,1.00,700.00,"36,718.75",859.00,858.00,311.00,"473,757.00","2,791.00","85,457.00","472,240.00"
LambdaCloud 2x H100 80GB SXM5 pytorch_24.03,2.00,"1,400.00","73,437.50","1,707.00","1,662.00",603.00,"923,977.00","5,531.00","150,053.00","925,228.00"
LambdaCloud 4x H100 80GB SXM5 pytorch_24.03,4.00,"2,800.00","146,875.00","3,407.00","3,373.00","1,218.00","1,873,266.00","11,057.00","329,940.00","1,831,053.00"
LambdaCloud 8x H100 80GB SXM5 pytorch_24.03,8.00,"5,600.00","293,750.00","6,763.00","9,320.00","2,340.00","3,724,477.00","22,059.00","494,127.00","3,665,963.00"
