name_gpu,num_gpu,watt,price,ssd,bert_base_squad,bert_large_squad,gnmt,ncf,resnet50,tacotron2,transformerxlbase,transformerxllarge,waveglow
Quadro RTX 8000,1.0,260.0,6900.0,184.0,147.0,51.0,87088.0,19987857.0,647.0,18285.0,18180.0,7793.0,43186.0
RTX 3090,1.0,350.0,3142.0,236.0,172.0,52.0,86080.0,25118176.0,905.0,25018.0,22863.0,7821.0,97100.0
A100 40GB PCIe,1.0,250.0,12785.0,391.0,365.0,115.0,184704.0,36951218.0,1393.0,37733.0,35284.0,15996.0,193731.0
RTX A6000,1.0,300.0,5785.0,249.0,193.0,66.0,114839.0,25276479.0,912.0,24658.0,25563.0,10935.0,116474.0
RTX 4090,1.0,450.0,1599.0,379.0,297.0,93.0,159511.0,32192491.0,1301.0,32661.0,40427.0,14509.0,160816.0
H100 80GB PCIe Gen4,1.0,310.0,35714.0,543.0,543.0,193.0,308140.0,33692362.0,1830.0,62244.0,46213.0,21652.0,273956.0
H100 80GB PCIe Gen5,1.0,310.0,35714.0,566.0,567.0,203.0,332521.0,34483571.0,1866.0,63991.0,47919.0,22586.0,273768.0
2x RTX A6000,2.0,600.0,11570.0,493.0,373.0,115.0,224790.0,56272566.0,1805.0,47789.0,51067.0,21884.0,198823.0
2x RTX 3090,2.0,700.0,6284.0,459.0,327.0,89.0,138466.0,53019604.0,1751.0,50118.0,45546.0,15585.0,172960.0
2x RTX 4090,2.0,900.0,3198.0,732.0,541.0,139.0,210089.0,66704156.0,2468.0,65266.0,80755.0,28964.0,263655.0
2x H100 80GB PCIe Gen4,2.0,620.0,71428.0,1068.0,1019.0,332.0,470455.0,71927239.0,3558.0,111469.0,91440.0,42832.0,479906.0
2x H100 80GB PCIe Gen5,2.0,620.0,71428.0,1128.0,1125.0,395.0,633491.0,76949517.0,3707.0,112874.0,95735.0,45010.0,533897.0
4x H100 80GB PCIe Gen4,4.0,1240.0,142856.0,2113.0,2030.0,652.0,888886.0,143260459.0,7019.0,212582.0,179968.0,85052.0,949165.0
4x H100 80GB PCIe Gen5,4.0,1240.0,142856.0,2030.0,2190.0,759.0,1242573.0,153109676.0,7378.0,215939.0,190177.0,89760.0,1087912.0
8x H100 80GB PCIe Gen4,8.0,2480.0,285712.0,4021.0,5010.0,854.0,1162883.0,302006437.0,13217.0,325100.0,361534.0,169516.0,1398172.0
8x H100 80GB PCIe Gen5,8.0,2480.0,285712.0,4092.0,6182.0,1522.0,2377554.0,307462776.0,14713.0,244326.0,379627.0,177899.0,2183524.0
