,ssd,bert_base_squad,bert_large_squad,gnmt,ncf,resnet50,tacotron2,transformerxlbase,transformerxllarge,waveglow
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-102_v2,0.0,3359.0,1119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-120_v2,0.0,3335.0,1106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-130_v2,0.0,3225.0,1076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-143_v2,0.0,3410.0,1119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-156_v2,0.0,3287.0,1081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-158_v2,0.0,3296.0,1084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-159_v2,0.0,3196.0,1063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-163_v2,0.0,3256.0,1064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-180_v2,0.0,3140.0,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-184_v2,0.0,3237.0,1046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-190_v2,0.0,3330.0,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-206_v2,0.0,3267.0,1135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-207_v2,0.0,3213.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-211_v2,0.0,3374.0,1118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-225_v2,0.0,3247.0,1124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-44_v2,0.0,3303.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LambdaOD_Texas_8xH100_80GB_SXM5_192-222-52-48_v2,0.0,3190.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
