63, 0 %, 0 MiB
62, 0 %, 0 MiB
62, 1 %, 306 MiB
61, 4 %, 774 MiB
61, 1 %, 1186 MiB
60, 0 %, 1186 MiB
60, 0 %, 1186 MiB
60, 0 %, 1186 MiB
59, 11 %, 4628 MiB
59, 9 %, 7816 MiB
62, 69 %, 9770 MiB
61, 20 %, 10866 MiB
62, 84 %, 10866 MiB
63, 25 %, 10866 MiB
62, 76 %, 10866 MiB
64, 47 %, 10872 MiB
64, 48 %, 10872 MiB
63, 88 %, 10872 MiB
63, 34 %, 10872 MiB
63, 100 %, 10872 MiB
63, 84 %, 6346 MiB
62, 8 %, 4948 MiB
61, 10 %, 8830 MiB
63, 82 %, 10756 MiB
64, 36 %, 10814 MiB
63, 49 %, 10814 MiB
62, 24 %, 10814 MiB
61, 2 %, 10814 MiB
63, 64 %, 10814 MiB
62, 69 %, 10814 MiB
64, 59 %, 10852 MiB
63, 35 %, 10852 MiB
64, 91 %, 10852 MiB
65, 37 %, 10890 MiB
64, 65 %, 10890 MiB
65, 63 %, 10890 MiB
64, 31 %, 10890 MiB
65, 91 %, 10890 MiB
66, 26 %, 10890 MiB
65, 79 %, 10890 MiB
66, 61 %, 10890 MiB
64, 0 %, 10890 MiB
62, 16 %, 10842 MiB
