66, 0 %, 0 MiB
65, 0 %, 0 MiB
64, 0 %, 11 MiB
62, 0 %, 11 MiB
61, 0 %, 11 MiB
61, 4 %, 224 MiB
61, 3 %, 454 MiB
61, 5 %, 1312 MiB
60, 0 %, 2690 MiB
60, 0 %, 2690 MiB
59, 0 %, 2692 MiB
60, 2 %, 3012 MiB
60, 38 %, 3998 MiB
62, 20 %, 17422 MiB
64, 94 %, 34296 MiB
64, 13 %, 34024 MiB
65, 48 %, 32840 MiB
65, 62 %, 31936 MiB
66, 49 %, 41614 MiB
67, 81 %, 47094 MiB
68, 49 %, 47094 MiB
68, 96 %, 47094 MiB
68, 75 %, 47094 MiB
69, 28 %, 47094 MiB
70, 43 %, 47094 MiB
70, 38 %, 47094 MiB
70, 41 %, 47094 MiB
70, 99 %, 47094 MiB
71, 82 %, 47094 MiB
71, 52 %, 47094 MiB
72, 83 %, 47094 MiB
71, 98 %, 47094 MiB
71, 40 %, 40804 MiB
70, 0 %, 38042 MiB
70, 99 %, 46304 MiB
69, 100 %, 46304 MiB
71, 62 %, 46690 MiB
70, 28 %, 46690 MiB
71, 67 %, 46692 MiB
72, 83 %, 46692 MiB
72, 69 %, 46692 MiB
73, 38 %, 46692 MiB
73, 74 %, 46692 MiB
72, 47 %, 46692 MiB
73, 69 %, 46692 MiB
73, 54 %, 46692 MiB
73, 94 %, 46692 MiB
73, 84 %, 46692 MiB
73, 36 %, 46692 MiB
73, 67 %, 46924 MiB
74, 78 %, 46924 MiB
73, 29 %, 46924 MiB
71, 0 %, 46900 MiB
