Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fc4e723f730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-06-26 20:24:58.668479 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 928  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : True  local_rank : 0  gpu : 0  world_size : 2 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-06-26 20:25:25.646711 - Epoch: 0 Iteration: 1  train.loss : 7.09375  train.total_ips : 70.02 img/s
DLL 2020-06-26 20:25:27.793038 - Epoch: 0 Iteration: 2  train.loss : 7.13281  train.total_ips : 864.80 img/s
DLL 2020-06-26 20:25:29.581364 - Epoch: 0 Iteration: 3  train.loss : 7.08594  train.total_ips : 1037.89 img/s
DLL 2020-06-26 20:25:31.048278 - Epoch: 0 Iteration: 4  train.loss : 7.06250  train.total_ips : 1265.40 img/s
DLL 2020-06-26 20:25:32.514356 - Epoch: 0 Iteration: 5  train.loss : 7.05859  train.total_ips : 1266.10 img/s
DLL 2020-06-26 20:25:33.980088 - Epoch: 0 Iteration: 6  train.loss : 7.07031  train.total_ips : 1266.33 img/s
DLL 2020-06-26 20:25:35.446750 - Epoch: 0 Iteration: 7  train.loss : 7.14258  train.total_ips : 1265.53 img/s
DLL 2020-06-26 20:25:36.912518 - Epoch: 0 Iteration: 8  train.loss : 7.22461  train.total_ips : 1266.44 img/s
DLL 2020-06-26 20:25:38.380775 - Epoch: 0 Iteration: 9  train.loss : 7.20312  train.total_ips : 1264.13 img/s
DLL 2020-06-26 20:25:39.849268 - Epoch: 0 Iteration: 10  train.loss : 7.21094  train.total_ips : 1263.95 img/s
DLL 2020-06-26 20:25:41.316053 - Epoch: 0 Iteration: 11  train.loss : 7.24219  train.total_ips : 1265.43 img/s
DLL 2020-06-26 20:25:42.785195 - Epoch: 0 Iteration: 12  train.loss : 7.13281  train.total_ips : 1263.40 img/s
DLL 2020-06-26 20:25:44.254693 - Epoch: 0 Iteration: 13  train.loss : 7.24219  train.total_ips : 1263.09 img/s
DLL 2020-06-26 20:25:45.723469 - Epoch: 0 Iteration: 14  train.loss : 7.20117  train.total_ips : 1263.76 img/s
DLL 2020-06-26 20:25:47.191618 - Epoch: 0 Iteration: 15  train.loss : 7.29297  train.total_ips : 1264.32 img/s
DLL 2020-06-26 20:25:48.659484 - Epoch: 0 Iteration: 16  train.loss : 7.24805  train.total_ips : 1264.48 img/s
DLL 2020-06-26 20:25:50.126784 - Epoch: 0 Iteration: 17  train.loss : 7.33398  train.total_ips : 1264.98 img/s
DLL 2020-06-26 20:25:51.596686 - Epoch: 0 Iteration: 18  train.loss : 7.34766  train.total_ips : 1262.74 img/s
DLL 2020-06-26 20:25:53.066480 - Epoch: 0 Iteration: 19  train.loss : 7.27539  train.total_ips : 1262.84 img/s
DLL 2020-06-26 20:25:54.534791 - Epoch: 0 Iteration: 20  train.loss : 7.29102  train.total_ips : 1264.11 img/s
DLL 2020-06-26 20:25:56.005586 - Epoch: 0 Iteration: 21  train.loss : 7.33984  train.total_ips : 1261.97 img/s
DLL 2020-06-26 20:25:57.474098 - Epoch: 0 Iteration: 22  train.loss : 7.32812  train.total_ips : 1263.94 img/s
DLL 2020-06-26 20:25:58.942904 - Epoch: 0 Iteration: 23  train.loss : 7.21484  train.total_ips : 1263.68 img/s
DLL 2020-06-26 20:26:00.412373 - Epoch: 0 Iteration: 24  train.loss : 7.25000  train.total_ips : 1263.11 img/s
DLL 2020-06-26 20:26:01.882237 - Epoch: 0 Iteration: 25  train.loss : 7.20508  train.total_ips : 1262.81 img/s
DLL 2020-06-26 20:26:03.352151 - Epoch: 0 Iteration: 26  train.loss : 7.08203  train.total_ips : 1262.73 img/s
DLL 2020-06-26 20:26:04.820841 - Epoch: 0 Iteration: 27  train.loss : 7.17188  train.total_ips : 1263.80 img/s
DLL 2020-06-26 20:26:06.290788 - Epoch: 0 Iteration: 28  train.loss : 7.05859  train.total_ips : 1262.70 img/s
DLL 2020-06-26 20:26:07.761843 - Epoch: 0 Iteration: 29  train.loss : 7.31445  train.total_ips : 1261.77 img/s
DLL 2020-06-26 20:26:09.233509 - Epoch: 0 Iteration: 30  train.loss : 7.09180  train.total_ips : 1261.22 img/s
DLL 2020-06-26 20:26:10.705610 - Epoch: 0 Iteration: 31  train.loss : 7.07422  train.total_ips : 1260.93 img/s
DLL 2020-06-26 20:26:12.175321 - Epoch: 0 Iteration: 32  train.loss : 7.01172  train.total_ips : 1262.93 img/s
DLL 2020-06-26 20:26:13.646801 - Epoch: 0 Iteration: 33  train.loss : 7.10742  train.total_ips : 1261.39 img/s
DLL 2020-06-26 20:26:15.116821 - Epoch: 0 Iteration: 34  train.loss : 7.01953  train.total_ips : 1262.65 img/s
DLL 2020-06-26 20:26:16.587003 - Epoch: 0 Iteration: 35  train.loss : 7.05273  train.total_ips : 1262.49 img/s
DLL 2020-06-26 20:26:18.055431 - Epoch: 0 Iteration: 36  train.loss : 7.14648  train.total_ips : 1264.01 img/s
DLL 2020-06-26 20:26:19.525793 - Epoch: 0 Iteration: 37  train.loss : 7.29492  train.total_ips : 1262.34 img/s
DLL 2020-06-26 20:26:20.996597 - Epoch: 0 Iteration: 38  train.loss : 7.15625  train.total_ips : 1261.97 img/s
DLL 2020-06-26 20:26:22.467389 - Epoch: 0 Iteration: 39  train.loss : 7.10938  train.total_ips : 1261.99 img/s
DLL 2020-06-26 20:26:23.936501 - Epoch: 0 Iteration: 40  train.loss : 7.06836  train.total_ips : 1263.42 img/s
DLL 2020-06-26 20:26:25.405845 - Epoch: 0 Iteration: 41  train.loss : 7.03320  train.total_ips : 1263.22 img/s
DLL 2020-06-26 20:26:26.877605 - Epoch: 0 Iteration: 42  train.loss : 7.00781  train.total_ips : 1261.14 img/s
