Container nvidia build =  25165078
out dir is .
python   run_squad.py --init_checkpoint=/data/bert_large/bert_large_uncased.pt --do_train --train_file=/data/squad/v1.1/train-v1.1.json --train_batch_size=18  --do_lower_case  --bert_model=bert-large-uncased  --learning_rate=0.0  --seed=1  --num_train_epochs=2.0  --max_seq_length=384  --doc_stride=128  --output_dir=.  --vocab_file=/data/bert_large/bert-large-uncased-vocab.txt  --config_file=/data/bert_large/bert_config.json  --max_steps=100   |& tee ./logfile.txt

Iteration:   0%|          | 0/4925 [00:00<?, ?it/s]/workspace/examples/bert/optimization.py:150: UserWarning: This overload of add_ is deprecated:
	add_(Number alpha, Tensor other)
Consider using one of the following signatures instead:
	add_(Tensor other, *, Number alpha) (Triggered internally at  /opt/pytorch/pytorch/torch/csrc/utils/python_arg_parser.cpp:1026.)
  next_m.mul_(beta1).add_(1 - beta1, grad)

Iteration:   0%|          | 1/4925 [00:02<3:04:10,  2.24s/it]
Iteration:   0%|          | 2/4925 [00:03<2:46:09,  2.03s/it]
Iteration:   0%|          | 3/4925 [00:05<2:33:42,  1.87s/it]
Iteration:   0%|          | 4/4925 [00:06<2:24:57,  1.77s/it]
Iteration:   0%|          | 5/4925 [00:08<2:18:54,  1.69s/it]
Iteration:   0%|          | 6/4925 [00:09<2:14:48,  1.64s/it]
Iteration:   0%|          | 7/4925 [00:11<2:11:52,  1.61s/it]
Iteration:   0%|          | 8/4925 [00:12<2:09:52,  1.58s/it]
Iteration:   0%|          | 9/4925 [00:14<2:08:35,  1.57s/it]
Iteration:   0%|          | 10/4925 [00:15<2:07:31,  1.56s/it]
Iteration:   0%|          | 11/4925 [00:17<2:06:49,  1.55s/it]
Iteration:   0%|          | 12/4925 [00:19<2:06:32,  1.55s/it]
Iteration:   0%|          | 13/4925 [00:20<2:06:12,  1.54s/it]
Iteration:   0%|          | 14/4925 [00:22<2:06:03,  1.54s/it]
Iteration:   0%|          | 15/4925 [00:23<2:05:55,  1.54s/it]
Iteration:   0%|          | 16/4925 [00:25<2:06:01,  1.54s/it]
Iteration:   0%|          | 17/4925 [00:26<2:06:08,  1.54s/it]
Iteration:   0%|          | 18/4925 [00:28<2:06:07,  1.54s/it]
Iteration:   0%|          | 19/4925 [00:29<2:06:11,  1.54s/it]
Iteration:   0%|          | 20/4925 [00:31<2:06:14,  1.54s/it]
Iteration:   0%|          | 21/4925 [00:32<2:06:19,  1.55s/it]
Iteration:   0%|          | 22/4925 [00:34<2:06:25,  1.55s/it]
Iteration:   0%|          | 23/4925 [00:36<2:06:30,  1.55s/it]
Iteration:   0%|          | 24/4925 [00:37<2:06:40,  1.55s/it]
Iteration:   1%|          | 25/4925 [00:39<2:06:49,  1.55s/it]
Iteration:   1%|          | 26/4925 [00:40<2:07:00,  1.56s/it]
Iteration:   1%|          | 27/4925 [00:42<2:07:37,  1.56s/it]
Iteration:   1%|          | 28/4925 [00:43<2:07:44,  1.57s/it]
Iteration:   1%|          | 29/4925 [00:45<2:07:31,  1.56s/it]
Iteration:   1%|          | 30/4925 [00:46<2:07:30,  1.56s/it]
Iteration:   1%|          | 31/4925 [00:48<2:07:27,  1.56s/it]
Iteration:   1%|          | 32/4925 [00:50<2:07:36,  1.56s/it]
Iteration:   1%|          | 33/4925 [00:51<2:07:29,  1.56s/it]
Iteration:   1%|          | 34/4925 [00:53<2:07:28,  1.56s/it]
Iteration:   1%|          | 35/4925 [00:54<2:07:44,  1.57s/it]
Iteration:   1%|          | 36/4925 [00:56<2:08:07,  1.57s/it]
Iteration:   1%|          | 37/4925 [00:57<2:08:29,  1.58s/it]
Iteration:   1%|          | 38/4925 [00:59<2:08:39,  1.58s/it]
