Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f48234e9730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-06-26 21:45:29.893366 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 928  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : True  local_rank : 0  gpu : 0  world_size : 4 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-06-26 21:46:02.746746 - Epoch: 0 Iteration: 1  train.loss : 7.09375  train.total_ips : 119.55 img/s
DLL 2020-06-26 21:46:05.116531 - Epoch: 0 Iteration: 2  train.loss : 7.02344  train.total_ips : 1566.43 img/s
DLL 2020-06-26 21:46:07.080432 - Epoch: 0 Iteration: 3  train.loss : 6.98438  train.total_ips : 1890.30 img/s
DLL 2020-06-26 21:46:08.559922 - Epoch: 0 Iteration: 4  train.loss : 6.98926  train.total_ips : 2509.14 img/s
DLL 2020-06-26 21:46:10.006752 - Epoch: 0 Iteration: 5  train.loss : 7.00781  train.total_ips : 2565.99 img/s
DLL 2020-06-26 21:46:11.453814 - Epoch: 0 Iteration: 6  train.loss : 7.02637  train.total_ips : 2565.39 img/s
DLL 2020-06-26 21:46:12.899126 - Epoch: 0 Iteration: 7  train.loss : 7.06250  train.total_ips : 2568.43 img/s
DLL 2020-06-26 21:46:14.347392 - Epoch: 0 Iteration: 8  train.loss : 7.09277  train.total_ips : 2563.22 img/s
DLL 2020-06-26 21:46:15.796033 - Epoch: 0 Iteration: 9  train.loss : 7.06445  train.total_ips : 2562.57 img/s
DLL 2020-06-26 21:46:17.244278 - Epoch: 0 Iteration: 10  train.loss : 7.08594  train.total_ips : 2563.34 img/s
DLL 2020-06-26 21:46:18.692891 - Epoch: 0 Iteration: 11  train.loss : 7.14453  train.total_ips : 2562.71 img/s
DLL 2020-06-26 21:46:20.139646 - Epoch: 0 Iteration: 12  train.loss : 7.05859  train.total_ips : 2565.91 img/s
DLL 2020-06-26 21:46:21.587974 - Epoch: 0 Iteration: 13  train.loss : 7.08496  train.total_ips : 2563.09 img/s
