75, 0 %, 0 MiB
73, 0 %, 0 MiB
72, 0 %, 0 MiB
71, 0 %, 11 MiB
70, 1 %, 196 MiB
70, 3 %, 574 MiB
69, 3 %, 1130 MiB
69, 0 %, 1138 MiB
68, 0 %, 1138 MiB
68, 0 %, 1138 MiB
67, 0 %, 1138 MiB
67, 0 %, 1138 MiB
67, 0 %, 1138 MiB
66, 0 %, 1138 MiB
66, 0 %, 1708 MiB
65, 5 %, 3834 MiB
65, 4 %, 5674 MiB
65, 3 %, 7206 MiB
64, 3 %, 8586 MiB
68, 91 %, 10514 MiB
68, 26 %, 10906 MiB
68, 95 %, 10906 MiB
67, 100 %, 10906 MiB
66, 16 %, 10906 MiB
66, 16 %, 10906 MiB
67, 99 %, 10906 MiB
67, 100 %, 10906 MiB
69, 83 %, 10906 MiB
68, 87 %, 10906 MiB
68, 69 %, 10906 MiB
70, 87 %, 10906 MiB
69, 98 %, 10906 MiB
69, 13 %, 10906 MiB
68, 12 %, 10906 MiB
68, 16 %, 11 MiB
