37, 0 %, 0 MiB
37, 0 %, 0 MiB
37, 0 %, 3 MiB
36, 0 %, 26 MiB
36, 0 %, 416 MiB
36, 9 %, 1754 MiB
36, 0 %, 2628 MiB
36, 0 %, 2826 MiB
36, 0 %, 4722 MiB
40, 81 %, 29740 MiB
48, 100 %, 62746 MiB
39, 0 %, 65796 MiB
48, 100 %, 79308 MiB
49, 78 %, 77938 MiB
51, 99 %, 62114 MiB
52, 95 %, 70480 MiB
54, 95 %, 70480 MiB
54, 100 %, 70480 MiB
54, 100 %, 70480 MiB
56, 97 %, 70480 MiB
58, 99 %, 70480 MiB
59, 100 %, 70480 MiB
59, 100 %, 70480 MiB
59, 100 %, 70480 MiB
59, 95 %, 70480 MiB
62, 100 %, 70480 MiB
62, 100 %, 70480 MiB
62, 100 %, 70480 MiB
61, 100 %, 70480 MiB
61, 94 %, 70480 MiB
63, 95 %, 70480 MiB
51, 2 %, 69032 MiB
48, 1 %, 68370 MiB
47, 100 %, 3 MiB
46, 0 %, 0 MiB
