52, 0 %, 0 MiB
51, 0 %, 0 MiB
51, 0 %, 17 MiB
50, 0 %, 1094 MiB
50, 0 %, 1094 MiB
50, 0 %, 1094 MiB
49, 0 %, 1232 MiB
49, 0 %, 1310 MiB
48, 0 %, 1310 MiB
48, 0 %, 5738 MiB
56, 73 %, 29644 MiB
51, 1 %, 39196 MiB
54, 49 %, 38562 MiB
55, 31 %, 30748 MiB
58, 50 %, 29668 MiB
53, 100 %, 19062 MiB
58, 99 %, 39492 MiB
60, 99 %, 39492 MiB
60, 99 %, 39492 MiB
61, 100 %, 39492 MiB
62, 100 %, 39492 MiB
58, 29 %, 39492 MiB
55, 0 %, 39492 MiB
54, 0 %, 39492 MiB
58, 100 %, 40014 MiB
60, 99 %, 40430 MiB
62, 100 %, 40430 MiB
62, 100 %, 40430 MiB
63, 99 %, 40430 MiB
62, 100 %, 40430 MiB
64, 99 %, 40430 MiB
58, 0 %, 40430 MiB
55, 0 %, 39838 MiB
56, 100 %, 3 MiB
