38, 0 %, 0 MiB
37, 0 %, 0 MiB
37, 0 %, 3 MiB
37, 5 %, 920 MiB
37, 0 %, 974 MiB
37, 0 %, 974 MiB
37, 0 %, 974 MiB
36, 0 %, 974 MiB
36, 0 %, 974 MiB
36, 0 %, 974 MiB
36, 0 %, 974 MiB
36, 0 %, 974 MiB
36, 0 %, 974 MiB
36, 0 %, 974 MiB
35, 0 %, 974 MiB
35, 0 %, 974 MiB
35, 6 %, 1386 MiB
35, 0 %, 3076 MiB
35, 12 %, 3510 MiB
35, 0 %, 3510 MiB
35, 0 %, 3510 MiB
35, 0 %, 3510 MiB
35, 0 %, 3510 MiB
35, 0 %, 3512 MiB
35, 2 %, 3704 MiB
35, 3 %, 4178 MiB
37, 12 %, 24284 MiB
40, 50 %, 30292 MiB
39, 71 %, 15786 MiB
38, 9 %, 31656 MiB
45, 86 %, 35614 MiB
45, 85 %, 35614 MiB
47, 90 %, 35614 MiB
48, 91 %, 35614 MiB
45, 80 %, 35614 MiB
49, 88 %, 35614 MiB
52, 72 %, 35614 MiB
40, 25 %, 22792 MiB
42, 12 %, 21638 MiB
39, 100 %, 35138 MiB
39, 100 %, 35138 MiB
47, 87 %, 35396 MiB
49, 86 %, 35398 MiB
52, 64 %, 35398 MiB
50, 89 %, 35398 MiB
50, 85 %, 35398 MiB
53, 91 %, 35398 MiB
48, 82 %, 35398 MiB
43, 2 %, 35038 MiB
41, 0 %, 34456 MiB
40, 0 %, 0 MiB
