Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f2f7c78e730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-10 21:31:12.678920 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 288  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-10 21:31:21.735717 - Epoch: 0 Iteration: 1  train.loss : 7.10547  train.total_ips : 31.83 img/s
DLL 2020-03-10 21:31:22.536077 - Epoch: 0 Iteration: 2  train.loss : 7.23828  train.total_ips : 359.85 img/s
DLL 2020-03-10 21:31:23.244616 - Epoch: 0 Iteration: 3  train.loss : 7.44922  train.total_ips : 406.51 img/s
DLL 2020-03-10 21:31:23.906902 - Epoch: 0 Iteration: 4  train.loss : 7.57031  train.total_ips : 434.90 img/s
DLL 2020-03-10 21:31:24.554566 - Epoch: 0 Iteration: 5  train.loss : 7.97266  train.total_ips : 444.72 img/s
DLL 2020-03-10 21:31:25.202619 - Epoch: 0 Iteration: 6  train.loss : 8.07031  train.total_ips : 444.45 img/s
DLL 2020-03-10 21:31:25.850285 - Epoch: 0 Iteration: 7  train.loss : 8.10938  train.total_ips : 444.72 img/s
DLL 2020-03-10 21:31:26.498068 - Epoch: 0 Iteration: 8  train.loss : 7.96484  train.total_ips : 444.64 img/s
DLL 2020-03-10 21:31:27.145617 - Epoch: 0 Iteration: 9  train.loss : 8.17188  train.total_ips : 444.80 img/s
DLL 2020-03-10 21:31:27.793646 - Epoch: 0 Iteration: 10  train.loss : 8.03906  train.total_ips : 444.49 img/s
DLL 2020-03-10 21:31:28.441680 - Epoch: 0 Iteration: 11  train.loss : 8.24219  train.total_ips : 444.47 img/s
DLL 2020-03-10 21:31:29.089902 - Epoch: 0 Iteration: 12  train.loss : 7.71875  train.total_ips : 444.34 img/s
DLL 2020-03-10 21:31:29.737556 - Epoch: 0 Iteration: 13  train.loss : 7.87109  train.total_ips : 444.73 img/s
DLL 2020-03-10 21:31:30.385349 - Epoch: 0 Iteration: 14  train.loss : 8.28906  train.total_ips : 444.63 img/s
DLL 2020-03-10 21:31:31.033538 - Epoch: 0 Iteration: 15  train.loss : 7.85938  train.total_ips : 444.36 img/s
DLL 2020-03-10 21:31:31.682529 - Epoch: 0 Iteration: 16  train.loss : 8.28125  train.total_ips : 443.82 img/s
DLL 2020-03-10 21:31:32.331530 - Epoch: 0 Iteration: 17  train.loss : 8.06250  train.total_ips : 443.81 img/s
DLL 2020-03-10 21:31:32.979806 - Epoch: 0 Iteration: 18  train.loss : 7.96094  train.total_ips : 444.30 img/s
DLL 2020-03-10 21:31:33.628514 - Epoch: 0 Iteration: 19  train.loss : 7.67188  train.total_ips : 444.02 img/s
DLL 2020-03-10 21:31:34.277454 - Epoch: 0 Iteration: 20  train.loss : 8.13281  train.total_ips : 443.84 img/s
DLL 2020-03-10 21:31:34.926600 - Epoch: 0 Iteration: 21  train.loss : 8.08594  train.total_ips : 443.70 img/s
DLL 2020-03-10 21:31:35.574943 - Epoch: 0 Iteration: 22  train.loss : 7.69141  train.total_ips : 444.26 img/s
