Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f36c528c730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-08 22:26:10.222044 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 608  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-08 22:26:22.978594 - Epoch: 0 Iteration: 1  train.loss : 7.10156  train.total_ips : 47.75 img/s
DLL 2020-03-08 22:26:23.810138 - Epoch: 0 Iteration: 2  train.loss : 7.14844  train.total_ips : 731.37 img/s
DLL 2020-03-08 22:26:24.533192 - Epoch: 0 Iteration: 3  train.loss : 7.17188  train.total_ips : 840.93 img/s
DLL 2020-03-08 22:26:25.253974 - Epoch: 0 Iteration: 4  train.loss : 7.24219  train.total_ips : 843.64 img/s
DLL 2020-03-08 22:26:25.974763 - Epoch: 0 Iteration: 5  train.loss : 7.31641  train.total_ips : 843.63 img/s
DLL 2020-03-08 22:26:26.695615 - Epoch: 0 Iteration: 6  train.loss : 7.42578  train.total_ips : 843.71 img/s
DLL 2020-03-08 22:26:27.416752 - Epoch: 0 Iteration: 7  train.loss : 7.52344  train.total_ips : 843.16 img/s
DLL 2020-03-08 22:26:28.137965 - Epoch: 0 Iteration: 8  train.loss : 7.44531  train.total_ips : 843.12 img/s
DLL 2020-03-08 22:26:28.858784 - Epoch: 0 Iteration: 9  train.loss : 7.69922  train.total_ips : 843.61 img/s
DLL 2020-03-08 22:26:29.579875 - Epoch: 0 Iteration: 10  train.loss : 7.74219  train.total_ips : 843.34 img/s
DLL 2020-03-08 22:26:30.301122 - Epoch: 0 Iteration: 11  train.loss : 7.58594  train.total_ips : 843.11 img/s
DLL 2020-03-08 22:26:31.022378 - Epoch: 0 Iteration: 12  train.loss : 7.79688  train.total_ips : 843.06 img/s
DLL 2020-03-08 22:26:31.742543 - Epoch: 0 Iteration: 13  train.loss : 7.72266  train.total_ips : 844.35 img/s
DLL 2020-03-08 22:26:32.463018 - Epoch: 0 Iteration: 14  train.loss : 7.94922  train.total_ips : 844.00 img/s
DLL 2020-03-08 22:26:33.183516 - Epoch: 0 Iteration: 15  train.loss : 8.37500  train.total_ips : 844.00 img/s
DLL 2020-03-08 22:26:33.903789 - Epoch: 0 Iteration: 16  train.loss : 7.70312  train.total_ips : 844.32 img/s
DLL 2020-03-08 22:26:34.624177 - Epoch: 0 Iteration: 17  train.loss : 7.52734  train.total_ips : 844.08 img/s
DLL 2020-03-08 22:26:35.345156 - Epoch: 0 Iteration: 18  train.loss : 7.78906  train.total_ips : 843.38 img/s
DLL 2020-03-08 22:26:36.065367 - Epoch: 0 Iteration: 19  train.loss : 7.84766  train.total_ips : 844.29 img/s
DLL 2020-03-08 22:26:36.785416 - Epoch: 0 Iteration: 20  train.loss : 7.59766  train.total_ips : 844.48 img/s
DLL 2020-03-08 22:26:37.505768 - Epoch: 0 Iteration: 21  train.loss : 7.39062  train.total_ips : 844.13 img/s
DLL 2020-03-08 22:26:38.225776 - Epoch: 0 Iteration: 22  train.loss : 7.69922  train.total_ips : 844.55 img/s
DLL 2020-03-08 22:26:38.946361 - Epoch: 0 Iteration: 23  train.loss : 7.90234  train.total_ips : 843.88 img/s
DLL 2020-03-08 22:26:39.666886 - Epoch: 0 Iteration: 24  train.loss : 7.18750  train.total_ips : 844.06 img/s
DLL 2020-03-08 22:26:40.387378 - Epoch: 0 Iteration: 25  train.loss : 7.14453  train.total_ips : 843.90 img/s
DLL 2020-03-08 22:26:41.107303 - Epoch: 0 Iteration: 26  train.loss : 7.13672  train.total_ips : 844.62 img/s
DLL 2020-03-08 22:26:41.827694 - Epoch: 0 Iteration: 27  train.loss : 7.00391  train.total_ips : 844.14 img/s
DLL 2020-03-08 22:26:42.547539 - Epoch: 0 Iteration: 28  train.loss : 7.12109  train.total_ips : 844.72 img/s
DLL 2020-03-08 22:26:43.267865 - Epoch: 0 Iteration: 29  train.loss : 7.92188  train.total_ips : 844.16 img/s
