60, 0 %, 0 MiB
60, 0 %, 0 MiB
59, 0 %, 11 MiB
59, 0 %, 316 MiB
59, 0 %, 372 MiB
59, 4 %, 1108 MiB
59, 7 %, 1560 MiB
61, 82 %, 12914 MiB
62, 79 %, 12376 MiB
62, 65 %, 13180 MiB
60, 66 %, 10306 MiB
61, 94 %, 9080 MiB
66, 79 %, 15858 MiB
67, 90 %, 15904 MiB
67, 87 %, 15904 MiB
68, 91 %, 15906 MiB
68, 90 %, 15906 MiB
69, 90 %, 15906 MiB
69, 96 %, 15906 MiB
70, 96 %, 15906 MiB
70, 91 %, 15906 MiB
70, 99 %, 15906 MiB
70, 99 %, 15906 MiB
69, 99 %, 15906 MiB
70, 99 %, 15906 MiB
71, 99 %, 15906 MiB
71, 90 %, 15906 MiB
72, 91 %, 15906 MiB
71, 90 %, 15906 MiB
73, 90 %, 15906 MiB
73, 94 %, 15906 MiB
73, 89 %, 15906 MiB
73, 95 %, 15906 MiB
73, 98 %, 15906 MiB
73, 99 %, 15906 MiB
73, 99 %, 15906 MiB
72, 99 %, 15906 MiB
73, 99 %, 15906 MiB
74, 99 %, 15906 MiB
74, 90 %, 15906 MiB
74, 90 %, 15906 MiB
75, 89 %, 15906 MiB
