Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f6e68954840>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-03 19:18:11.575253 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 1  batch_size : 160  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-03 19:18:17.342125 - Epoch: 0 Iteration: 1  train.loss : 7.09766  train.total_ips : 27.86 img/s
DLL 2020-03-03 19:18:18.010828 - Epoch: 0 Iteration: 2  train.loss : 7.45703  train.total_ips : 239.30 img/s
DLL 2020-03-03 19:18:18.654406 - Epoch: 0 Iteration: 3  train.loss : 7.80859  train.total_ips : 248.64 img/s
DLL 2020-03-03 19:18:19.307098 - Epoch: 0 Iteration: 4  train.loss : 7.82031  train.total_ips : 245.17 img/s
DLL 2020-03-03 19:18:19.942241 - Epoch: 0 Iteration: 5  train.loss : 9.48438  train.total_ips : 251.94 img/s
DLL 2020-03-03 19:18:20.582458 - Epoch: 0 Iteration: 6  train.loss : 8.63281  train.total_ips : 249.94 img/s
DLL 2020-03-03 19:18:21.218829 - Epoch: 0 Iteration: 7  train.loss : 8.71875  train.total_ips : 251.46 img/s
DLL 2020-03-03 19:18:21.858637 - Epoch: 0 Iteration: 8  train.loss : 8.42188  train.total_ips : 250.11 img/s
DLL 2020-03-03 19:18:22.491767 - Epoch: 0 Iteration: 9  train.loss : 9.04688  train.total_ips : 252.75 img/s
DLL 2020-03-03 19:18:23.128737 - Epoch: 0 Iteration: 10  train.loss : 8.12500  train.total_ips : 251.22 img/s
DLL 2020-03-03 19:18:23.768175 - Epoch: 0 Iteration: 11  train.loss : 8.11719  train.total_ips : 250.25 img/s
DLL 2020-03-03 19:18:24.404009 - Epoch: 0 Iteration: 12  train.loss : 8.56250  train.total_ips : 251.67 img/s
DLL 2020-03-03 19:18:25.040160 - Epoch: 0 Iteration: 13  train.loss : 9.39062  train.total_ips : 251.54 img/s
DLL 2020-03-03 19:18:25.681334 - Epoch: 0 Iteration: 14  train.loss : 8.22656  train.total_ips : 249.57 img/s
DLL 2020-03-03 19:18:26.334054 - Epoch: 0 Iteration: 15  train.loss : 8.76562  train.total_ips : 245.16 img/s
DLL 2020-03-03 19:18:26.972267 - Epoch: 0 Iteration: 16  train.loss : 8.16406  train.total_ips : 250.73 img/s
DLL 2020-03-03 19:18:27.608117 - Epoch: 0 Iteration: 17  train.loss : 7.83594  train.total_ips : 251.66 img/s
DLL 2020-03-03 19:18:28.271361 - Epoch: 0 Iteration: 18  train.loss : 7.96094  train.total_ips : 241.26 img/s
DLL 2020-03-03 19:18:28.951395 - Epoch: 0 Iteration: 19  train.loss : 7.98047  train.total_ips : 235.31 img/s
DLL 2020-03-03 19:18:29.587550 - Epoch: 0 Iteration: 20  train.loss : 7.54688  train.total_ips : 251.54 img/s
DLL 2020-03-03 19:18:30.227929 - Epoch: 0 Iteration: 21  train.loss : 7.48438  train.total_ips : 249.88 img/s
DLL 2020-03-03 19:18:30.866085 - Epoch: 0 Iteration: 22  train.loss : 7.34766  train.total_ips : 250.75 img/s
DLL 2020-03-03 19:18:31.501090 - Epoch: 0 Iteration: 23  train.loss : 7.37500  train.total_ips : 252.00 img/s
DLL 2020-03-03 19:18:32.135233 - Epoch: 0 Iteration: 24  train.loss : 7.62500  train.total_ips : 252.34 img/s
DLL 2020-03-03 19:18:32.834785 - Epoch: 0 Iteration: 25  train.loss : 7.29297  train.total_ips : 228.74 img/s
DLL 2020-03-03 19:18:33.509510 - Epoch: 0 Iteration: 26  train.loss : 7.19141  train.total_ips : 237.16 img/s
DLL 2020-03-03 19:18:34.145908 - Epoch: 0 Iteration: 27  train.loss : 7.28125  train.total_ips : 251.45 img/s
DLL 2020-03-03 19:18:34.840140 - Epoch: 0 Iteration: 28  train.loss : 7.27734  train.total_ips : 230.50 img/s
DLL 2020-03-03 19:18:35.556957 - Epoch: 0 Iteration: 29  train.loss : 7.17578  train.total_ips : 223.24 img/s
DLL 2020-03-03 19:18:36.259521 - Epoch: 0 Iteration: 30  train.loss : 7.40625  train.total_ips : 227.77 img/s
DLL 2020-03-03 19:18:36.969443 - Epoch: 0 Iteration: 31  train.loss : 7.26562  train.total_ips : 225.40 img/s
DLL 2020-03-03 19:18:37.687238 - Epoch: 0 Iteration: 32  train.loss : 7.08984  train.total_ips : 222.94 img/s
DLL 2020-03-03 19:18:38.389662 - Epoch: 0 Iteration: 33  train.loss : 8.06250  train.total_ips : 227.81 img/s
DLL 2020-03-03 19:18:39.101286 - Epoch: 0 Iteration: 34  train.loss : 7.33594  train.total_ips : 224.86 img/s
DLL 2020-03-03 19:18:39.838481 - Epoch: 0 Iteration: 35  train.loss : 7.58984  train.total_ips : 217.06 img/s
DLL 2020-03-03 19:18:40.582847 - Epoch: 0 Iteration: 36  train.loss : 7.22266  train.total_ips : 214.97 img/s
DLL 2020-03-03 19:18:41.302415 - Epoch: 0 Iteration: 37  train.loss : 7.37500  train.total_ips : 222.39 img/s
DLL 2020-03-03 19:18:42.031713 - Epoch: 0 Iteration: 38  train.loss : 7.11328  train.total_ips : 219.41 img/s
DLL 2020-03-03 19:18:42.767392 - Epoch: 0 Iteration: 39  train.loss : 7.05469  train.total_ips : 217.51 img/s
DLL 2020-03-03 19:18:43.483619 - Epoch: 0 Iteration: 40  train.loss : 7.23828  train.total_ips : 223.43 img/s
DLL 2020-03-03 19:18:44.214488 - Epoch: 0 Iteration: 41  train.loss : 7.21875  train.total_ips : 218.94 img/s
DLL 2020-03-03 19:18:44.929765 - Epoch: 0 Iteration: 42  train.loss : 7.05078  train.total_ips : 223.72 img/s
DLL 2020-03-03 19:18:45.647310 - Epoch: 0 Iteration: 43  train.loss : 7.02734  train.total_ips : 223.00 img/s
DLL 2020-03-03 19:18:46.360131 - Epoch: 0 Iteration: 44  train.loss : 7.08984  train.total_ips : 224.48 img/s
DLL 2020-03-03 19:18:47.069154 - Epoch: 0 Iteration: 45  train.loss : 6.98047  train.total_ips : 225.69 img/s
DLL 2020-03-03 19:18:47.705278 - Epoch: 0 Iteration: 46  train.loss : 6.95312  train.total_ips : 251.55 img/s
DLL 2020-03-03 19:18:48.340783 - Epoch: 0 Iteration: 47  train.loss : 6.93750  train.total_ips : 251.80 img/s
