58, 0 %, 277 MiB
58, 0 %, 511 MiB
58, 2 %, 891 MiB
58, 3 %, 1827 MiB
61, 70 %, 7677 MiB
62, 92 %, 7913 MiB
63, 99 %, 7913 MiB
63, 100 %, 7913 MiB
64, 100 %, 7913 MiB
64, 99 %, 7913 MiB
65, 99 %, 7913 MiB
65, 99 %, 7913 MiB
66, 100 %, 7913 MiB
66, 98 %, 7913 MiB
66, 99 %, 7913 MiB
67, 99 %, 7913 MiB
67, 100 %, 7913 MiB
67, 100 %, 7913 MiB
67, 99 %, 7913 MiB
67, 99 %, 7913 MiB
68, 99 %, 7913 MiB
68, 100 %, 7913 MiB
68, 99 %, 7913 MiB
67, 99 %, 7913 MiB
67, 99 %, 7913 MiB
68, 100 %, 7913 MiB
67, 85 %, 7913 MiB
68, 100 %, 7913 MiB
67, 100 %, 7913 MiB
67, 99 %, 7913 MiB
67, 99 %, 7913 MiB
67, 100 %, 7913 MiB
67, 100 %, 7913 MiB
67, 99 %, 7913 MiB
68, 99 %, 7913 MiB
67, 100 %, 7913 MiB
67, 99 %, 7913 MiB
68, 99 %, 7913 MiB
68, 99 %, 7913 MiB
68, 99 %, 7913 MiB
67, 99 %, 7913 MiB
68, 99 %, 7913 MiB
67, 99 %, 7913 MiB
68, 99 %, 7913 MiB
67, 99 %, 7913 MiB
68, 99 %, 7913 MiB
67, 100 %, 7913 MiB
66, 99 %, 7583 MiB
66, 15 %, 277 MiB
