Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f6df05b4840>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-03 19:13:54.814791 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 1  batch_size : 160  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-03 19:13:59.609090 - Epoch: 0 Iteration: 1  train.loss : 7.01172  train.total_ips : 33.51 img/s
DLL 2020-03-03 19:13:59.975410 - Epoch: 0 Iteration: 2  train.loss : 7.56250  train.total_ips : 436.83 img/s
DLL 2020-03-03 19:14:00.272815 - Epoch: 0 Iteration: 3  train.loss : 7.86719  train.total_ips : 538.11 img/s
DLL 2020-03-03 19:14:00.570015 - Epoch: 0 Iteration: 4  train.loss : 7.93359  train.total_ips : 538.49 img/s
DLL 2020-03-03 19:14:00.868388 - Epoch: 0 Iteration: 5  train.loss : 9.31250  train.total_ips : 536.36 img/s
DLL 2020-03-03 19:14:01.166118 - Epoch: 0 Iteration: 6  train.loss : 8.75000  train.total_ips : 537.54 img/s
DLL 2020-03-03 19:14:01.464277 - Epoch: 0 Iteration: 7  train.loss : 8.51562  train.total_ips : 536.75 img/s
DLL 2020-03-03 19:14:01.762283 - Epoch: 0 Iteration: 8  train.loss : 8.48438  train.total_ips : 537.04 img/s
DLL 2020-03-03 19:14:02.060714 - Epoch: 0 Iteration: 9  train.loss : 9.50000  train.total_ips : 536.28 img/s
DLL 2020-03-03 19:14:02.358686 - Epoch: 0 Iteration: 10  train.loss : 8.99219  train.total_ips : 537.09 img/s
DLL 2020-03-03 19:14:02.656801 - Epoch: 0 Iteration: 11  train.loss : 10.61719  train.total_ips : 536.83 img/s
DLL 2020-03-03 19:14:02.954461 - Epoch: 0 Iteration: 12  train.loss : 8.63281  train.total_ips : 537.65 img/s
DLL 2020-03-03 19:14:03.252074 - Epoch: 0 Iteration: 13  train.loss : 8.12500  train.total_ips : 537.76 img/s
DLL 2020-03-03 19:14:03.549548 - Epoch: 0 Iteration: 14  train.loss : 8.05469  train.total_ips : 538.00 img/s
DLL 2020-03-03 19:14:03.847634 - Epoch: 0 Iteration: 15  train.loss : 7.96094  train.total_ips : 536.89 img/s
DLL 2020-03-03 19:14:04.145159 - Epoch: 0 Iteration: 16  train.loss : 7.69531  train.total_ips : 537.90 img/s
DLL 2020-03-03 19:14:04.442502 - Epoch: 0 Iteration: 17  train.loss : 7.16797  train.total_ips : 538.23 img/s
DLL 2020-03-03 19:14:04.740140 - Epoch: 0 Iteration: 18  train.loss : 7.26953  train.total_ips : 537.67 img/s
DLL 2020-03-03 19:14:05.037641 - Epoch: 0 Iteration: 19  train.loss : 7.48438  train.total_ips : 537.94 img/s
DLL 2020-03-03 19:14:05.335015 - Epoch: 0 Iteration: 20  train.loss : 7.42188  train.total_ips : 538.18 img/s
DLL 2020-03-03 19:14:05.632420 - Epoch: 0 Iteration: 21  train.loss : 7.20703  train.total_ips : 538.10 img/s
DLL 2020-03-03 19:14:05.929775 - Epoch: 0 Iteration: 22  train.loss : 7.31250  train.total_ips : 538.20 img/s
DLL 2020-03-03 19:14:06.227103 - Epoch: 0 Iteration: 23  train.loss : 7.31641  train.total_ips : 538.27 img/s
DLL 2020-03-03 19:14:06.525048 - Epoch: 0 Iteration: 24  train.loss : 7.53125  train.total_ips : 537.14 img/s
DLL 2020-03-03 19:14:06.822282 - Epoch: 0 Iteration: 25  train.loss : 7.30469  train.total_ips : 538.41 img/s
DLL 2020-03-03 19:14:07.119515 - Epoch: 0 Iteration: 26  train.loss : 7.29297  train.total_ips : 538.44 img/s
DLL 2020-03-03 19:14:07.416662 - Epoch: 0 Iteration: 27  train.loss : 7.58594  train.total_ips : 538.57 img/s
DLL 2020-03-03 19:14:07.713890 - Epoch: 0 Iteration: 28  train.loss : 7.20312  train.total_ips : 538.52 img/s
DLL 2020-03-03 19:14:08.011372 - Epoch: 0 Iteration: 29  train.loss : 7.11328  train.total_ips : 537.97 img/s
DLL 2020-03-03 19:14:08.308623 - Epoch: 0 Iteration: 30  train.loss : 7.02344  train.total_ips : 538.40 img/s
DLL 2020-03-03 19:14:08.605408 - Epoch: 0 Iteration: 31  train.loss : 7.17188  train.total_ips : 539.23 img/s
DLL 2020-03-03 19:14:08.902984 - Epoch: 0 Iteration: 32  train.loss : 7.37891  train.total_ips : 537.81 img/s
