Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f0fbe401840>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-06 06:58:02.170672 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 1  batch_size : 160  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-06 06:58:07.781911 - Epoch: 0 Iteration: 1  train.loss : 7.11719  train.total_ips : 28.62 img/s
DLL 2020-03-06 06:58:08.145402 - Epoch: 0 Iteration: 2  train.loss : 7.50391  train.total_ips : 440.21 img/s
DLL 2020-03-06 06:58:08.442629 - Epoch: 0 Iteration: 3  train.loss : 8.11719  train.total_ips : 538.44 img/s
DLL 2020-03-06 06:58:08.739134 - Epoch: 0 Iteration: 4  train.loss : 8.14062  train.total_ips : 539.73 img/s
DLL 2020-03-06 06:58:09.036255 - Epoch: 0 Iteration: 5  train.loss : 8.82031  train.total_ips : 538.63 img/s
DLL 2020-03-06 06:58:09.333434 - Epoch: 0 Iteration: 6  train.loss : 9.14062  train.total_ips : 538.52 img/s
DLL 2020-03-06 06:58:09.630722 - Epoch: 0 Iteration: 7  train.loss : 10.07812  train.total_ips : 538.33 img/s
DLL 2020-03-06 06:58:09.927410 - Epoch: 0 Iteration: 8  train.loss : 8.60156  train.total_ips : 539.40 img/s
DLL 2020-03-06 06:58:10.223911 - Epoch: 0 Iteration: 9  train.loss : 8.10938  train.total_ips : 539.79 img/s
DLL 2020-03-06 06:58:10.520394 - Epoch: 0 Iteration: 10  train.loss : 8.10156  train.total_ips : 539.77 img/s
DLL 2020-03-06 06:58:10.818019 - Epoch: 0 Iteration: 11  train.loss : 10.39844  train.total_ips : 537.73 img/s
DLL 2020-03-06 06:58:11.114970 - Epoch: 0 Iteration: 12  train.loss : 12.89844  train.total_ips : 538.90 img/s
DLL 2020-03-06 06:58:11.411991 - Epoch: 0 Iteration: 13  train.loss : 8.43750  train.total_ips : 538.81 img/s
DLL 2020-03-06 06:58:11.708658 - Epoch: 0 Iteration: 14  train.loss : 7.51562  train.total_ips : 539.49 img/s
DLL 2020-03-06 06:58:12.005636 - Epoch: 0 Iteration: 15  train.loss : 8.15625  train.total_ips : 538.85 img/s
DLL 2020-03-06 06:58:12.302389 - Epoch: 0 Iteration: 16  train.loss : 7.43750  train.total_ips : 539.29 img/s
DLL 2020-03-06 06:58:12.598810 - Epoch: 0 Iteration: 17  train.loss : 7.99609  train.total_ips : 539.91 img/s
DLL 2020-03-06 06:58:12.895654 - Epoch: 0 Iteration: 18  train.loss : 7.51172  train.total_ips : 539.13 img/s
