Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7ff8c2a1e840>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-06-30 05:38:00.094135 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 160  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : True  local_rank : 0  gpu : 0  world_size : 2 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-06-30 05:38:07.150016 - Epoch: 0 Iteration: 1  train.loss : 7.10547  train.total_ips : 47.18 img/s
DLL 2020-06-30 05:38:07.540193 - Epoch: 0 Iteration: 2  train.loss : 7.09375  train.total_ips : 820.36 img/s
DLL 2020-06-30 05:38:07.849107 - Epoch: 0 Iteration: 3  train.loss : 7.34375  train.total_ips : 1036.59 img/s
DLL 2020-06-30 05:38:08.157524 - Epoch: 0 Iteration: 4  train.loss : 7.47266  train.total_ips : 1037.78 img/s
DLL 2020-06-30 05:38:08.466044 - Epoch: 0 Iteration: 5  train.loss : 7.76172  train.total_ips : 1037.41 img/s
DLL 2020-06-30 05:38:08.773839 - Epoch: 0 Iteration: 6  train.loss : 8.02148  train.total_ips : 1039.91 img/s
DLL 2020-06-30 05:38:09.083157 - Epoch: 0 Iteration: 7  train.loss : 8.26562  train.total_ips : 1034.93 img/s
DLL 2020-06-30 05:38:09.392376 - Epoch: 0 Iteration: 8  train.loss : 7.94141  train.total_ips : 1035.19 img/s
DLL 2020-06-30 05:38:09.701279 - Epoch: 0 Iteration: 9  train.loss : 8.14844  train.total_ips : 1036.14 img/s
DLL 2020-06-30 05:38:10.010082 - Epoch: 0 Iteration: 10  train.loss : 8.25391  train.total_ips : 1036.68 img/s
DLL 2020-06-30 05:38:10.319346 - Epoch: 0 Iteration: 11  train.loss : 8.20703  train.total_ips : 1035.24 img/s
DLL 2020-06-30 05:38:10.628871 - Epoch: 0 Iteration: 12  train.loss : 8.12695  train.total_ips : 1034.17 img/s
DLL 2020-06-30 05:38:10.937656 - Epoch: 0 Iteration: 13  train.loss : 8.39453  train.total_ips : 1036.50 img/s
DLL 2020-06-30 05:38:11.247044 - Epoch: 0 Iteration: 14  train.loss : 7.90234  train.total_ips : 1034.71 img/s
DLL 2020-06-30 05:38:11.556108 - Epoch: 0 Iteration: 15  train.loss : 10.31641  train.total_ips : 1035.74 img/s
DLL 2020-06-30 05:38:11.864904 - Epoch: 0 Iteration: 16  train.loss : 9.08984  train.total_ips : 1036.56 img/s
DLL 2020-06-30 05:38:12.174194 - Epoch: 0 Iteration: 17  train.loss : 8.74609  train.total_ips : 1034.88 img/s
DLL 2020-06-30 05:38:12.483476 - Epoch: 0 Iteration: 18  train.loss : 7.92383  train.total_ips : 1034.88 img/s
DLL 2020-06-30 05:38:12.792422 - Epoch: 0 Iteration: 19  train.loss : 7.53320  train.total_ips : 1036.09 img/s
DLL 2020-06-30 05:38:13.101375 - Epoch: 0 Iteration: 20  train.loss : 7.56445  train.total_ips : 1036.03 img/s
DLL 2020-06-30 05:38:13.410682 - Epoch: 0 Iteration: 21  train.loss : 7.43555  train.total_ips : 1034.88 img/s
DLL 2020-06-30 05:38:13.719772 - Epoch: 0 Iteration: 22  train.loss : 7.25586  train.total_ips : 1035.59 img/s
DLL 2020-06-30 05:38:14.028433 - Epoch: 0 Iteration: 23  train.loss : 7.26953  train.total_ips : 1037.04 img/s
DLL 2020-06-30 05:38:14.337741 - Epoch: 0 Iteration: 24  train.loss : 8.02148  train.total_ips : 1034.96 img/s
DLL 2020-06-30 05:38:14.647257 - Epoch: 0 Iteration: 25  train.loss : 7.20703  train.total_ips : 1034.28 img/s
DLL 2020-06-30 05:38:14.955907 - Epoch: 0 Iteration: 26  train.loss : 7.26562  train.total_ips : 1037.08 img/s
DLL 2020-06-30 05:38:15.264667 - Epoch: 0 Iteration: 27  train.loss : 7.18945  train.total_ips : 1036.60 img/s
DLL 2020-06-30 05:38:15.573766 - Epoch: 0 Iteration: 28  train.loss : 7.26562  train.total_ips : 1035.53 img/s
DLL 2020-06-30 05:38:15.882765 - Epoch: 0 Iteration: 29  train.loss : 7.23438  train.total_ips : 1035.98 img/s
DLL 2020-06-30 05:38:16.192083 - Epoch: 0 Iteration: 30  train.loss : 7.16211  train.total_ips : 1034.96 img/s
DLL 2020-06-30 05:38:16.500830 - Epoch: 0 Iteration: 31  train.loss : 7.22070  train.total_ips : 1036.64 img/s
DLL 2020-06-30 05:38:16.810016 - Epoch: 0 Iteration: 32  train.loss : 7.10547  train.total_ips : 1035.24 img/s
DLL 2020-06-30 05:38:17.119346 - Epoch: 0 Iteration: 33  train.loss : 7.13672  train.total_ips : 1034.71 img/s
DLL 2020-06-30 05:38:17.429023 - Epoch: 0 Iteration: 34  train.loss : 7.06250  train.total_ips : 1033.60 img/s
DLL 2020-06-30 05:38:17.740986 - Epoch: 0 Iteration: 35  train.loss : 7.12305  train.total_ips : 1025.96 img/s
DLL 2020-06-30 05:38:18.050966 - Epoch: 0 Iteration: 36  train.loss : 6.99414  train.total_ips : 1032.62 img/s
DLL 2020-06-30 05:38:18.361014 - Epoch: 0 Iteration: 37  train.loss : 7.06250  train.total_ips : 1032.36 img/s
DLL 2020-06-30 05:38:18.671071 - Epoch: 0 Iteration: 38  train.loss : 7.07812  train.total_ips : 1032.28 img/s
DLL 2020-06-30 05:38:18.983298 - Epoch: 0 Iteration: 39  train.loss : 6.99219  train.total_ips : 1025.21 img/s
DLL 2020-06-30 05:38:19.292634 - Epoch: 0 Iteration: 40  train.loss : 7.02148  train.total_ips : 1034.69 img/s
DLL 2020-06-30 05:38:19.610348 - Epoch: 0 Iteration: 41  train.loss : 6.97266  train.total_ips : 1007.37 img/s
DLL 2020-06-30 05:38:19.922239 - Epoch: 0 Iteration: 42  train.loss : 7.09570  train.total_ips : 1026.28 img/s
DLL 2020-06-30 05:38:20.236774 - Epoch: 0 Iteration: 43  train.loss : 6.94531  train.total_ips : 1017.55 img/s
DLL 2020-06-30 05:38:20.557602 - Epoch: 0 Iteration: 44  train.loss : 6.97070  train.total_ips : 997.63 img/s
DLL 2020-06-30 05:38:20.875271 - Epoch: 0 Iteration: 45  train.loss : 6.93750  train.total_ips : 1007.60 img/s
DLL 2020-06-30 05:38:21.191177 - Epoch: 0 Iteration: 46  train.loss : 6.93164  train.total_ips : 1013.18 img/s
DLL 2020-06-30 05:38:21.513476 - Epoch: 0 Iteration: 47  train.loss : 6.92578  train.total_ips : 993.29 img/s
DLL 2020-06-30 05:38:21.835707 - Epoch: 0 Iteration: 48  train.loss : 6.91797  train.total_ips : 993.33 img/s
DLL 2020-06-30 05:38:22.147394 - Epoch: 0 Iteration: 49  train.loss : 6.94727  train.total_ips : 1027.02 img/s
