66, 0 %, 0 MiB
65, 0 %, 0 MiB
65, 3 %, 30 MiB
64, 5 %, 612 MiB
64, 0 %, 1174 MiB
63, 0 %, 1174 MiB
63, 0 %, 1174 MiB
62, 0 %, 1174 MiB
62, 17 %, 2056 MiB
62, 15 %, 12528 MiB
61, 13 %, 21164 MiB
61, 11 %, 27480 MiB
64, 100 %, 36084 MiB
64, 100 %, 36084 MiB
65, 100 %, 36084 MiB
66, 84 %, 36086 MiB
66, 100 %, 36086 MiB
66, 100 %, 36086 MiB
67, 100 %, 36086 MiB
65, 0 %, 36086 MiB
66, 55 %, 36086 MiB
64, 0 %, 36086 MiB
66, 92 %, 36868 MiB
67, 100 %, 37636 MiB
67, 100 %, 37636 MiB
68, 100 %, 37636 MiB
69, 77 %, 37636 MiB
69, 100 %, 37636 MiB
69, 100 %, 37636 MiB
69, 100 %, 37636 MiB
68, 0 %, 37636 MiB
68, 23 %, 37636 MiB
66, 0 %, 37612 MiB
