66, 0 %, 0 MiB
65, 0 %, 0 MiB
64, 0 %, 11 MiB
62, 0 %, 11 MiB
61, 0 %, 11 MiB
61, 18 %, 26 MiB
61, 3 %, 454 MiB
60, 2 %, 2622 MiB
60, 0 %, 2690 MiB
59, 0 %, 2690 MiB
59, 3 %, 2796 MiB
59, 0 %, 3064 MiB
61, 50 %, 5134 MiB
62, 17 %, 31680 MiB
61, 13 %, 34284 MiB
63, 92 %, 33900 MiB
64, 78 %, 32252 MiB
65, 54 %, 32212 MiB
65, 65 %, 47050 MiB
66, 52 %, 47050 MiB
66, 86 %, 47304 MiB
67, 94 %, 47304 MiB
68, 85 %, 47304 MiB
68, 46 %, 47304 MiB
69, 84 %, 47306 MiB
68, 32 %, 47306 MiB
70, 72 %, 47306 MiB
70, 39 %, 47306 MiB
70, 68 %, 47306 MiB
71, 99 %, 47306 MiB
71, 80 %, 47306 MiB
70, 53 %, 40764 MiB
71, 48 %, 38484 MiB
71, 11 %, 40410 MiB
69, 100 %, 46688 MiB
71, 39 %, 46920 MiB
71, 90 %, 46920 MiB
71, 47 %, 47174 MiB
72, 69 %, 47174 MiB
72, 43 %, 47174 MiB
73, 72 %, 47176 MiB
73, 100 %, 47176 MiB
73, 90 %, 47176 MiB
73, 35 %, 47176 MiB
73, 95 %, 47176 MiB
72, 49 %, 47176 MiB
74, 76 %, 47176 MiB
73, 49 %, 47176 MiB
74, 56 %, 47176 MiB
74, 99 %, 47176 MiB
73, 47 %, 47176 MiB
71, 37 %, 0 MiB
