61, 0 %, 0 MiB
60, 0 %, 0 MiB
61, 0 %, 172 MiB
60, 0 %, 172 MiB
60, 6 %, 1190 MiB
60, 0 %, 1464 MiB
63, 83 %, 18512 MiB
62, 32 %, 29312 MiB
64, 91 %, 25254 MiB
65, 100 %, 38450 MiB
67, 83 %, 33366 MiB
67, 100 %, 47354 MiB
66, 83 %, 36510 MiB
68, 67 %, 47372 MiB
68, 99 %, 38330 MiB
69, 100 %, 27734 MiB
69, 60 %, 33456 MiB
69, 82 %, 32398 MiB
70, 100 %, 42332 MiB
71, 92 %, 42354 MiB
71, 88 %, 42354 MiB
72, 100 %, 42354 MiB
72, 100 %, 42356 MiB
73, 100 %, 42356 MiB
73, 92 %, 42356 MiB
73, 96 %, 42356 MiB
74, 100 %, 42356 MiB
74, 100 %, 42356 MiB
74, 100 %, 42356 MiB
74, 96 %, 42356 MiB
74, 100 %, 42356 MiB
75, 100 %, 42356 MiB
74, 100 %, 42356 MiB
75, 100 %, 42360 MiB
75, 92 %, 42360 MiB
75, 99 %, 42360 MiB
76, 100 %, 42360 MiB
75, 100 %, 42360 MiB
75, 100 %, 42360 MiB
76, 92 %, 42360 MiB
76, 97 %, 42360 MiB
76, 100 %, 42360 MiB
76, 100 %, 42360 MiB
76, 100 %, 42360 MiB
76, 92 %, 42360 MiB
76, 98 %, 42360 MiB
76, 100 %, 42360 MiB
