73, 20 %, 318 MiB
72, 9 %, 318 MiB
73, 13 %, 926 MiB
73, 11 %, 1146 MiB
72, 6 %, 1148 MiB
71, 1 %, 1143 MiB
71, 9 %, 1158 MiB
70, 12 %, 1148 MiB
70, 14 %, 1146 MiB
70, 19 %, 1146 MiB
69, 7 %, 1146 MiB
67, 16 %, 1146 MiB
70, 36 %, 8746 MiB
75, 76 %, 10417 MiB
74, 83 %, 10438 MiB
75, 82 %, 10440 MiB
76, 81 %, 10440 MiB
76, 82 %, 10440 MiB
76, 81 %, 11546 MiB
77, 81 %, 11546 MiB
77, 84 %, 11548 MiB
77, 82 %, 12742 MiB
76, 86 %, 12736 MiB
78, 83 %, 12738 MiB
78, 83 %, 12738 MiB
77, 85 %, 12736 MiB
78, 85 %, 12736 MiB
77, 85 %, 12735 MiB
79, 81 %, 12735 MiB
79, 85 %, 12735 MiB
78, 83 %, 12735 MiB
81, 82 %, 12736 MiB
81, 83 %, 12736 MiB
78, 78 %, 12737 MiB
79, 84 %, 12735 MiB
80, 80 %, 12735 MiB
81, 80 %, 12736 MiB
81, 79 %, 12736 MiB
81, 81 %, 12738 MiB
79, 82 %, 12738 MiB
80, 81 %, 12736 MiB
80, 82 %, 12736 MiB
80, 81 %, 12735 MiB
80, 82 %, 12735 MiB
81, 81 %, 12735 MiB
81, 83 %, 12736 MiB
81, 83 %, 12736 MiB
81, 81 %, 12736 MiB
82, 81 %, 12736 MiB
81, 81 %, 12735 MiB
81, 79 %, 12737 MiB
81, 82 %, 12737 MiB
82, 86 %, 12737 MiB
81, 77 %, 12740 MiB
81, 82 %, 12740 MiB
83, 80 %, 12738 MiB
83, 83 %, 12738 MiB
81, 80 %, 12738 MiB
83, 82 %, 12738 MiB
83, 83 %, 12737 MiB
81, 84 %, 12741 MiB
84, 81 %, 12758 MiB
83, 84 %, 12757 MiB
83, 85 %, 12760 MiB
81, 72 %, 12758 MiB
83, 79 %, 12769 MiB
83, 88 %, 12774 MiB
83, 75 %, 12771 MiB
84, 82 %, 12770 MiB
82, 82 %, 12774 MiB
82, 81 %, 12772 MiB
82, 87 %, 12773 MiB
84, 79 %, 12773 MiB
84, 79 %, 12772 MiB
83, 80 %, 12768 MiB
84, 79 %, 12771 MiB
82, 83 %, 12770 MiB
82, 82 %, 12778 MiB
83, 81 %, 12806 MiB
82, 81 %, 12813 MiB
83, 83 %, 12815 MiB
82, 85 %, 12806 MiB
84, 84 %, 12804 MiB
84, 86 %, 12782 MiB
84, 83 %, 12786 MiB
82, 84 %, 12804 MiB
82, 84 %, 12809 MiB
82, 82 %, 12803 MiB
84, 78 %, 12778 MiB
82, 81 %, 12776 MiB
85, 82 %, 12779 MiB
82, 80 %, 12778 MiB
84, 78 %, 12781 MiB
82, 84 %, 12782 MiB
84, 79 %, 12775 MiB
84, 83 %, 12785 MiB
83, 83 %, 12774 MiB
85, 81 %, 12775 MiB
83, 87 %, 12775 MiB
83, 83 %, 12775 MiB
84, 85 %, 12775 MiB
82, 86 %, 12775 MiB
84, 84 %, 12775 MiB
84, 83 %, 12774 MiB
83, 83 %, 12774 MiB
84, 82 %, 12775 MiB
85, 83 %, 12782 MiB
82, 87 %, 12783 MiB
82, 86 %, 12772 MiB
82, 80 %, 12773 MiB
84, 80 %, 12771 MiB
84, 80 %, 12771 MiB
83, 79 %, 12771 MiB
84, 81 %, 12771 MiB
84, 84 %, 12773 MiB
82, 81 %, 12776 MiB
84, 80 %, 12780 MiB
83, 85 %, 12780 MiB
83, 80 %, 12777 MiB
83, 85 %, 12787 MiB
83, 82 %, 12811 MiB
83, 82 %, 12809 MiB
80, 26 %, 12781 MiB
77, 23 %, 359 MiB
