56, 6 %, 341 MiB
56, 6 %, 341 MiB
57, 7 %, 942 MiB
57, 1 %, 973 MiB
57, 12 %, 2095 MiB
56, 3 %, 2575 MiB
60, 29 %, 9337 MiB
60, 45 %, 9829 MiB
61, 50 %, 9829 MiB
63, 61 %, 9829 MiB
63, 60 %, 9829 MiB
63, 51 %, 9829 MiB
61, 54 %, 9829 MiB
62, 61 %, 9831 MiB
65, 63 %, 9832 MiB
63, 57 %, 9834 MiB
63, 65 %, 9836 MiB
66, 61 %, 9832 MiB
65, 57 %, 9844 MiB
64, 57 %, 9842 MiB
67, 57 %, 9842 MiB
66, 73 %, 9830 MiB
65, 61 %, 9834 MiB
66, 49 %, 9830 MiB
66, 64 %, 9830 MiB
66, 64 %, 9830 MiB
67, 55 %, 9830 MiB
66, 58 %, 9830 MiB
66, 75 %, 9836 MiB
66, 59 %, 9842 MiB
69, 55 %, 9840 MiB
68, 58 %, 9828 MiB
66, 66 %, 9848 MiB
69, 57 %, 9883 MiB
69, 62 %, 9884 MiB
68, 64 %, 9897 MiB
70, 57 %, 9914 MiB
67, 66 %, 9920 MiB
71, 55 %, 9903 MiB
69, 59 %, 9897 MiB
69, 68 %, 9899 MiB
68, 58 %, 9863 MiB
69, 49 %, 9861 MiB
70, 53 %, 9861 MiB
71, 63 %, 9873 MiB
70, 56 %, 9869 MiB
69, 65 %, 9873 MiB
69, 52 %, 9882 MiB
71, 64 %, 9900 MiB
70, 64 %, 9890 MiB
70, 55 %, 9890 MiB
69, 51 %, 9867 MiB
71, 59 %, 9867 MiB
71, 62 %, 9867 MiB
71, 54 %, 9859 MiB
69, 48 %, 9865 MiB
70, 51 %, 9869 MiB
72, 56 %, 9900 MiB
71, 66 %, 10006 MiB
70, 50 %, 10039 MiB
70, 51 %, 10038 MiB
73, 56 %, 10038 MiB
73, 54 %, 9863 MiB
72, 45 %, 9866 MiB
73, 58 %, 9863 MiB
69, 31 %, 9861 MiB
67, 8 %, 9859 MiB
72, 13 %, 9858 MiB
70, 47 %, 9859 MiB
70, 52 %, 9859 MiB
71, 60 %, 9873 MiB
72, 60 %, 9861 MiB
70, 50 %, 9877 MiB
70, 63 %, 9873 MiB
71, 49 %, 9911 MiB
70, 53 %, 9913 MiB
72, 49 %, 9915 MiB
72, 55 %, 9904 MiB
70, 54 %, 9905 MiB
72, 54 %, 9903 MiB
74, 45 %, 9875 MiB
73, 39 %, 9872 MiB
72, 49 %, 9872 MiB
73, 52 %, 9872 MiB
71, 53 %, 9853 MiB
71, 52 %, 9853 MiB
71, 49 %, 9856 MiB
72, 48 %, 9856 MiB
73, 64 %, 9853 MiB
74, 55 %, 9853 MiB
74, 52 %, 9854 MiB
72, 52 %, 9854 MiB
72, 56 %, 9854 MiB
72, 60 %, 9854 MiB
74, 61 %, 9854 MiB
75, 49 %, 9854 MiB
73, 53 %, 9823 MiB
72, 58 %, 9824 MiB
72, 62 %, 9822 MiB
75, 54 %, 9822 MiB
73, 55 %, 9823 MiB
73, 67 %, 9861 MiB
76, 58 %, 9844 MiB
74, 55 %, 9840 MiB
74, 61 %, 9842 MiB
73, 68 %, 9828 MiB
74, 58 %, 9839 MiB
75, 53 %, 9845 MiB
74, 61 %, 9841 MiB
73, 61 %, 9842 MiB
74, 63 %, 9828 MiB
75, 59 %, 9854 MiB
73, 63 %, 9836 MiB
73, 75 %, 9836 MiB
75, 66 %, 9836 MiB
74, 51 %, 9838 MiB
73, 68 %, 9836 MiB
73, 61 %, 9834 MiB
76, 52 %, 9840 MiB
75, 60 %, 9849 MiB
73, 66 %, 9862 MiB
75, 58 %, 9862 MiB
75, 62 %, 9869 MiB
73, 58 %, 9867 MiB
76, 65 %, 9868 MiB
76, 58 %, 9865 MiB
