66, 0 %, 0 MiB
65, 0 %, 0 MiB
64, 0 %, 11 MiB
64, 2 %, 300 MiB
64, 4 %, 762 MiB
64, 5 %, 1162 MiB
63, 0 %, 1162 MiB
63, 0 %, 1162 MiB
62, 0 %, 1162 MiB
62, 0 %, 1162 MiB
62, 0 %, 1162 MiB
61, 8 %, 3664 MiB
61, 7 %, 6500 MiB
61, 6 %, 8994 MiB
66, 89 %, 10516 MiB
64, 21 %, 10626 MiB
66, 84 %, 10760 MiB
66, 22 %, 10892 MiB
66, 87 %, 10892 MiB
66, 91 %, 10892 MiB
66, 82 %, 10892 MiB
67, 100 %, 10892 MiB
66, 43 %, 10892 MiB
66, 33 %, 10892 MiB
65, 9 %, 10892 MiB
67, 67 %, 10908 MiB
67, 48 %, 10908 MiB
69, 82 %, 10946 MiB
67, 20 %, 3644 MiB
65, 11 %, 6738 MiB
67, 15 %, 10482 MiB
67, 84 %, 10482 MiB
68, 52 %, 10636 MiB
67, 93 %, 10636 MiB
65, 16 %, 10612 MiB
65, 0 %, 0 MiB
