46, 0 %, 0 MiB
46, 0 %, 11 MiB
46, 0 %, 11 MiB
47, 0 %, 204 MiB
47, 3 %, 604 MiB
47, 0 %, 614 MiB
48, 2 %, 984 MiB
52, 79 %, 9084 MiB
54, 95 %, 9084 MiB
55, 94 %, 10038 MiB
56, 94 %, 10038 MiB
58, 95 %, 10038 MiB
58, 94 %, 10038 MiB
60, 95 %, 10038 MiB
60, 96 %, 10038 MiB
61, 94 %, 10038 MiB
62, 95 %, 10038 MiB
64, 94 %, 10038 MiB
64, 95 %, 10038 MiB
64, 95 %, 10038 MiB
65, 95 %, 10038 MiB
65, 95 %, 10038 MiB
66, 94 %, 10038 MiB
66, 95 %, 10038 MiB
67, 91 %, 10038 MiB
67, 94 %, 10038 MiB
67, 95 %, 10038 MiB
68, 96 %, 10038 MiB
68, 94 %, 10038 MiB
69, 94 %, 10038 MiB
68, 95 %, 10038 MiB
69, 95 %, 10038 MiB
70, 93 %, 10038 MiB
69, 94 %, 10038 MiB
70, 95 %, 10038 MiB
70, 94 %, 10038 MiB
71, 95 %, 10038 MiB
71, 95 %, 10038 MiB
70, 71 %, 7012 MiB
69, 100 %, 7012 MiB
69, 42 %, 7012 MiB
69, 52 %, 7012 MiB
69, 37 %, 7012 MiB
69, 59 %, 7012 MiB
69, 55 %, 7012 MiB
68, 100 %, 7012 MiB
70, 100 %, 10412 MiB
70, 95 %, 10412 MiB
70, 95 %, 10412 MiB
71, 95 %, 10412 MiB
71, 95 %, 10412 MiB
70, 95 %, 10412 MiB
72, 94 %, 10412 MiB
72, 95 %, 10412 MiB
72, 96 %, 10412 MiB
72, 95 %, 10412 MiB
72, 95 %, 10412 MiB
73, 95 %, 10412 MiB
73, 95 %, 10412 MiB
73, 95 %, 10412 MiB
73, 94 %, 10412 MiB
74, 95 %, 10412 MiB
74, 95 %, 10412 MiB
74, 94 %, 10412 MiB
74, 95 %, 10412 MiB
74, 94 %, 10412 MiB
74, 94 %, 10412 MiB
74, 95 %, 10412 MiB
74, 94 %, 10412 MiB
74, 94 %, 10412 MiB
74, 95 %, 10412 MiB
75, 95 %, 10412 MiB
74, 95 %, 10412 MiB
74, 95 %, 10412 MiB
75, 95 %, 10412 MiB
75, 95 %, 10412 MiB
75, 95 %, 10412 MiB
75, 84 %, 6928 MiB
73, 100 %, 6932 MiB
72, 100 %, 6932 MiB
71, 100 %, 6932 MiB
73, 65 %, 6932 MiB
72, 49 %, 6932 MiB
73, 44 %, 6932 MiB
72, 62 %, 6932 MiB
71, 82 %, 6932 MiB
71, 100 %, 6932 MiB
70, 100 %, 6908 MiB
67, 0 %, 11 MiB
