68, 0 %, 0 MiB
67, 0 %, 0 MiB
66, 0 %, 23 MiB
66, 5 %, 528 MiB
66, 6 %, 1138 MiB
65, 0 %, 1138 MiB
65, 0 %, 1138 MiB
64, 0 %, 1138 MiB
64, 0 %, 1138 MiB
63, 0 %, 1138 MiB
63, 0 %, 1798 MiB
63, 9 %, 5142 MiB
62, 9 %, 8304 MiB
66, 54 %, 10492 MiB
66, 43 %, 10526 MiB
67, 87 %, 10734 MiB
68, 24 %, 10866 MiB
67, 93 %, 10866 MiB
67, 32 %, 10866 MiB
67, 100 %, 10866 MiB
69, 83 %, 10866 MiB
68, 20 %, 10866 MiB
67, 30 %, 10866 MiB
66, 25 %, 10866 MiB
69, 78 %, 10882 MiB
68, 41 %, 10882 MiB
69, 84 %, 10920 MiB
67, 18 %, 4680 MiB
66, 12 %, 8962 MiB
70, 86 %, 10456 MiB
70, 28 %, 10610 MiB
69, 87 %, 10610 MiB
69, 21 %, 10610 MiB
68, 0 %, 10610 MiB
