57, 0 %, 0 MiB
56, 0 %, 0 MiB
56, 0 %, 23 MiB
56, 0 %, 172 MiB
56, 10 %, 966 MiB
56, 0 %, 1460 MiB
55, 6 %, 1866 MiB
59, 86 %, 24460 MiB
60, 0 %, 26876 MiB
61, 51 %, 38446 MiB
61, 51 %, 33362 MiB
63, 99 %, 47462 MiB
64, 100 %, 47350 MiB
64, 24 %, 34098 MiB
65, 83 %, 38326 MiB
66, 94 %, 33386 MiB
65, 52 %, 33802 MiB
65, 41 %, 24948 MiB
66, 74 %, 17322 MiB
67, 72 %, 42330 MiB
67, 100 %, 42352 MiB
68, 87 %, 42356 MiB
68, 89 %, 42356 MiB
69, 100 %, 42356 MiB
69, 100 %, 42356 MiB
70, 100 %, 42356 MiB
71, 91 %, 42356 MiB
71, 96 %, 42356 MiB
71, 100 %, 42360 MiB
72, 100 %, 42360 MiB
72, 100 %, 42360 MiB
72, 91 %, 42360 MiB
72, 100 %, 42360 MiB
73, 100 %, 42360 MiB
72, 100 %, 42360 MiB
73, 100 %, 42360 MiB
73, 92 %, 42360 MiB
73, 92 %, 42362 MiB
73, 100 %, 42362 MiB
73, 100 %, 42362 MiB
74, 100 %, 42362 MiB
74, 92 %, 42362 MiB
74, 99 %, 42362 MiB
74, 100 %, 42362 MiB
74, 86 %, 42362 MiB
74, 100 %, 42362 MiB
74, 92 %, 42362 MiB
72, 0 %, 41574 MiB
