55, 0 %, 0 MiB
55, 0 %, 0 MiB
55, 0 %, 172 MiB
55, 0 %, 172 MiB
54, 1 %, 458 MiB
54, 0 %, 1114 MiB
54, 0 %, 1458 MiB
54, 0 %, 1644 MiB
54, 2 %, 2010 MiB
56, 40 %, 18506 MiB
56, 13 %, 15848 MiB
58, 20 %, 41126 MiB
58, 51 %, 33662 MiB
61, 88 %, 38442 MiB
61, 26 %, 35452 MiB
62, 100 %, 47458 MiB
63, 94 %, 47346 MiB
63, 1 %, 34094 MiB
63, 58 %, 38986 MiB
65, 56 %, 38034 MiB
64, 44 %, 27726 MiB
64, 30 %, 31028 MiB
65, 29 %, 33800 MiB
65, 68 %, 32392 MiB
66, 100 %, 41770 MiB
67, 94 %, 41770 MiB
66, 100 %, 41794 MiB
68, 100 %, 41794 MiB
69, 95 %, 41794 MiB
69, 76 %, 41800 MiB
70, 100 %, 41800 MiB
70, 100 %, 41800 MiB
70, 100 %, 41804 MiB
71, 100 %, 41804 MiB
71, 92 %, 41804 MiB
71, 51 %, 41804 MiB
72, 100 %, 41804 MiB
72, 90 %, 41804 MiB
72, 100 %, 41804 MiB
73, 91 %, 41804 MiB
73, 49 %, 41804 MiB
73, 100 %, 41804 MiB
73, 92 %, 41804 MiB
73, 99 %, 41804 MiB
73, 100 %, 41806 MiB
74, 91 %, 41806 MiB
73, 80 %, 41806 MiB
74, 100 %, 41806 MiB
73, 100 %, 41806 MiB
74, 100 %, 41806 MiB
72, 100 %, 41806 MiB
74, 100 %, 41806 MiB
74, 80 %, 41806 MiB
74, 100 %, 41806 MiB
71, 0 %, 41018 MiB
