50, 0 %, 0 MiB
50, 0 %, 0 MiB
49, 0 %, 3 MiB
49, 5 %, 974 MiB
49, 0 %, 1012 MiB
48, 0 %, 1446 MiB
48, 0 %, 1446 MiB
47, 0 %, 1446 MiB
47, 0 %, 1446 MiB
46, 0 %, 1446 MiB
46, 0 %, 1446 MiB
46, 0 %, 1446 MiB
46, 0 %, 1446 MiB
45, 0 %, 1446 MiB
50, 44 %, 28704 MiB
58, 100 %, 33906 MiB
51, 100 %, 33906 MiB
61, 93 %, 33906 MiB
62, 100 %, 33906 MiB
61, 92 %, 33906 MiB
64, 93 %, 33906 MiB
64, 100 %, 33908 MiB
65, 93 %, 33908 MiB
64, 98 %, 33908 MiB
65, 93 %, 33908 MiB
65, 99 %, 33908 MiB
68, 93 %, 33908 MiB
68, 93 %, 33908 MiB
68, 93 %, 33908 MiB
68, 93 %, 33908 MiB
67, 97 %, 33908 MiB
67, 93 %, 33908 MiB
67, 97 %, 33908 MiB
70, 92 %, 33908 MiB
70, 100 %, 33908 MiB
68, 93 %, 33908 MiB
68, 98 %, 33908 MiB
71, 93 %, 33908 MiB
71, 97 %, 33908 MiB
71, 93 %, 33908 MiB
70, 100 %, 33908 MiB
71, 93 %, 33908 MiB
71, 100 %, 33910 MiB
70, 93 %, 33910 MiB
70, 99 %, 33910 MiB
72, 93 %, 33910 MiB
71, 93 %, 33910 MiB
72, 91 %, 33910 MiB
71, 100 %, 33910 MiB
70, 93 %, 33910 MiB
69, 100 %, 33910 MiB
72, 93 %, 33910 MiB
73, 100 %, 33910 MiB
73, 93 %, 33910 MiB
73, 93 %, 33910 MiB
74, 93 %, 33910 MiB
73, 99 %, 33910 MiB
72, 93 %, 33910 MiB
73, 100 %, 33910 MiB
74, 92 %, 33910 MiB
74, 97 %, 33910 MiB
74, 93 %, 33910 MiB
74, 93 %, 33910 MiB
74, 93 %, 33910 MiB
72, 95 %, 33910 MiB
73, 97 %, 33910 MiB
73, 94 %, 33910 MiB
73, 98 %, 33910 MiB
74, 93 %, 33910 MiB
74, 93 %, 33910 MiB
74, 93 %, 33910 MiB
73, 100 %, 33910 MiB
59, 100 %, 3 MiB
56, 0 %, 0 MiB
