Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fa2ae87f730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-06-18 09:05:34.240172 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 928  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : True  local_rank : 0  gpu : 0  world_size : 8 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-06-18 09:06:16.047740 - Epoch: 0 Iteration: 1  train.loss : 7.09131  train.total_ips : 186.03 img/s
DLL 2020-06-18 09:06:19.241426 - Epoch: 0 Iteration: 2  train.loss : 7.02588  train.total_ips : 2324.67 img/s
DLL 2020-06-18 09:06:21.617799 - Epoch: 0 Iteration: 3  train.loss : 6.98975  train.total_ips : 3124.24 img/s
DLL 2020-06-18 09:06:23.070412 - Epoch: 0 Iteration: 4  train.loss : 6.95801  train.total_ips : 5111.18 img/s
DLL 2020-06-18 09:06:24.529047 - Epoch: 0 Iteration: 5  train.loss : 6.96533  train.total_ips : 5090.12 img/s
DLL 2020-06-18 09:06:26.006216 - Epoch: 0 Iteration: 6  train.loss : 7.00244  train.total_ips : 5026.24 img/s
DLL 2020-06-18 09:06:27.462014 - Epoch: 0 Iteration: 7  train.loss : 7.02588  train.total_ips : 5100.69 img/s
DLL 2020-06-18 09:06:28.918349 - Epoch: 0 Iteration: 8  train.loss : 7.03467  train.total_ips : 5097.94 img/s
DLL 2020-06-18 09:06:30.376572 - Epoch: 0 Iteration: 9  train.loss : 7.06104  train.total_ips : 5091.47 img/s
DLL 2020-06-18 09:06:31.855202 - Epoch: 0 Iteration: 10  train.loss : 7.00586  train.total_ips : 5021.22 img/s
DLL 2020-06-18 09:06:33.315583 - Epoch: 0 Iteration: 11  train.loss : 6.99121  train.total_ips : 5083.99 img/s
DLL 2020-06-18 09:06:34.771935 - Epoch: 0 Iteration: 12  train.loss : 6.97656  train.total_ips : 5098.10 img/s
DLL 2020-06-18 09:06:36.229678 - Epoch: 0 Iteration: 13  train.loss : 6.98193  train.total_ips : 5093.62 img/s
