Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7ff6a106a730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-08-30 02:52:28.698772 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 448  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-08-30 02:52:38.804613 - Epoch: 0 Iteration: 1  train.loss : 7.04297  train.total_ips : 44.86 img/s
DLL 2020-08-30 02:52:40.097010 - Epoch: 0 Iteration: 2  train.loss : 7.08594  train.total_ips : 346.68 img/s
DLL 2020-08-30 02:52:40.783927 - Epoch: 0 Iteration: 3  train.loss : 7.28906  train.total_ips : 652.33 img/s
DLL 2020-08-30 02:52:41.472089 - Epoch: 0 Iteration: 4  train.loss : 7.41406  train.total_ips : 651.15 img/s
DLL 2020-08-30 02:52:42.159758 - Epoch: 0 Iteration: 5  train.loss : 7.44141  train.total_ips : 651.61 img/s
DLL 2020-08-30 02:52:42.928362 - Epoch: 0 Iteration: 6  train.loss : 7.58203  train.total_ips : 582.99 img/s
DLL 2020-08-30 02:52:44.180261 - Epoch: 0 Iteration: 7  train.loss : 7.46875  train.total_ips : 357.90 img/s
DLL 2020-08-30 02:52:45.203940 - Epoch: 0 Iteration: 8  train.loss : 7.74609  train.total_ips : 437.70 img/s
DLL 2020-08-30 02:52:46.247122 - Epoch: 0 Iteration: 9  train.loss : 7.83203  train.total_ips : 429.51 img/s
DLL 2020-08-30 02:52:47.347851 - Epoch: 0 Iteration: 10  train.loss : 7.89062  train.total_ips : 407.06 img/s
DLL 2020-08-30 02:52:48.504975 - Epoch: 0 Iteration: 11  train.loss : 9.12500  train.total_ips : 387.22 img/s
DLL 2020-08-30 02:52:49.728104 - Epoch: 0 Iteration: 12  train.loss : 7.63281  train.total_ips : 366.32 img/s
DLL 2020-08-30 02:52:50.734454 - Epoch: 0 Iteration: 13  train.loss : 8.42188  train.total_ips : 445.23 img/s
DLL 2020-08-30 02:52:52.060163 - Epoch: 0 Iteration: 14  train.loss : 8.10156  train.total_ips : 337.97 img/s
DLL 2020-08-30 02:52:53.084631 - Epoch: 0 Iteration: 15  train.loss : 7.71484  train.total_ips : 437.37 img/s
DLL 2020-08-30 02:52:54.243922 - Epoch: 0 Iteration: 16  train.loss : 7.85547  train.total_ips : 386.50 img/s
DLL 2020-08-30 02:52:55.441916 - Epoch: 0 Iteration: 17  train.loss : 9.07812  train.total_ips : 374.00 img/s
DLL 2020-08-30 02:52:56.614597 - Epoch: 0 Iteration: 18  train.loss : 7.38672  train.total_ips : 382.08 img/s
DLL 2020-08-30 02:52:57.440341 - Epoch: 0 Iteration: 19  train.loss : 7.32031  train.total_ips : 542.64 img/s
DLL 2020-08-30 02:52:58.368497 - Epoch: 0 Iteration: 20  train.loss : 7.19531  train.total_ips : 482.75 img/s
DLL 2020-08-30 02:52:59.504308 - Epoch: 0 Iteration: 21  train.loss : 7.26953  train.total_ips : 394.48 img/s
DLL 2020-08-30 02:53:00.980497 - Epoch: 0 Iteration: 22  train.loss : 7.38672  train.total_ips : 303.51 img/s
DLL 2020-08-30 02:53:02.046736 - Epoch: 0 Iteration: 23  train.loss : 7.16797  train.total_ips : 420.22 img/s
DLL 2020-08-30 02:53:03.125644 - Epoch: 0 Iteration: 24  train.loss : 7.25000  train.total_ips : 415.29 img/s
DLL 2020-08-30 02:53:04.318577 - Epoch: 0 Iteration: 25  train.loss : 7.27734  train.total_ips : 375.59 img/s
DLL 2020-08-30 02:53:05.377022 - Epoch: 0 Iteration: 26  train.loss : 7.62891  train.total_ips : 423.32 img/s
DLL 2020-08-30 02:53:06.385111 - Epoch: 0 Iteration: 27  train.loss : 7.11328  train.total_ips : 444.50 img/s
DLL 2020-08-30 02:53:07.367722 - Epoch: 0 Iteration: 28  train.loss : 7.16406  train.total_ips : 455.99 img/s
DLL 2020-08-30 02:53:08.576826 - Epoch: 0 Iteration: 29  train.loss : 7.27734  train.total_ips : 377.58 img/s
DLL 2020-08-30 02:53:09.490460 - Epoch: 0 Iteration: 30  train.loss : 7.25391  train.total_ips : 479.44 img/s
DLL 2020-08-30 02:53:10.606843 - Epoch: 0 Iteration: 31  train.loss : 7.08203  train.total_ips : 401.35 img/s
DLL 2020-08-30 02:53:11.690934 - Epoch: 0 Iteration: 32  train.loss : 7.12109  train.total_ips : 413.31 img/s
DLL 2020-08-30 02:53:12.748632 - Epoch: 0 Iteration: 33  train.loss : 7.21484  train.total_ips : 423.62 img/s
DLL 2020-08-30 02:53:13.748820 - Epoch: 0 Iteration: 34  train.loss : 7.40625  train.total_ips : 447.99 img/s
DLL 2020-08-30 02:53:14.800954 - Epoch: 0 Iteration: 35  train.loss : 7.43359  train.total_ips : 425.86 img/s
DLL 2020-08-30 02:53:15.805152 - Epoch: 0 Iteration: 36  train.loss : 7.08594  train.total_ips : 446.22 img/s
DLL 2020-08-30 02:53:16.772331 - Epoch: 0 Iteration: 37  train.loss : 7.08203  train.total_ips : 463.27 img/s
DLL 2020-08-30 02:53:17.808528 - Epoch: 0 Iteration: 38  train.loss : 7.19141  train.total_ips : 432.42 img/s
DLL 2020-08-30 02:53:18.805703 - Epoch: 0 Iteration: 39  train.loss : 7.07031  train.total_ips : 449.33 img/s
DLL 2020-08-30 02:53:19.752820 - Epoch: 0 Iteration: 40  train.loss : 7.14844  train.total_ips : 473.08 img/s
DLL 2020-08-30 02:53:20.760778 - Epoch: 0 Iteration: 41  train.loss : 7.18750  train.total_ips : 444.52 img/s
DLL 2020-08-30 02:53:21.781724 - Epoch: 0 Iteration: 42  train.loss : 7.06250  train.total_ips : 438.87 img/s
