37, 0 %, 0 MiB
37, 0 %, 10 MiB
37, 12 %, 281 MiB
38, 0 %, 457 MiB
38, 7 %, 579 MiB
42, 74 %, 7983 MiB
45, 97 %, 8721 MiB
46, 96 %, 8721 MiB
47, 98 %, 9675 MiB
49, 99 %, 9675 MiB
50, 99 %, 9675 MiB
52, 99 %, 9675 MiB
53, 100 %, 9675 MiB
54, 99 %, 9675 MiB
55, 99 %, 9675 MiB
57, 100 %, 10627 MiB
58, 99 %, 10627 MiB
58, 99 %, 10627 MiB
60, 100 %, 10627 MiB
61, 99 %, 10627 MiB
62, 97 %, 10627 MiB
63, 99 %, 10627 MiB
65, 99 %, 10627 MiB
65, 99 %, 10627 MiB
67, 99 %, 10627 MiB
68, 99 %, 10627 MiB
69, 97 %, 10627 MiB
70, 99 %, 10627 MiB
70, 99 %, 10627 MiB
71, 99 %, 10627 MiB
71, 97 %, 10627 MiB
72, 100 %, 10627 MiB
73, 96 %, 10627 MiB
75, 99 %, 10627 MiB
75, 100 %, 10627 MiB
76, 99 %, 10627 MiB
76, 99 %, 10627 MiB
77, 92 %, 10627 MiB
77, 97 %, 10627 MiB
78, 97 %, 10627 MiB
78, 99 %, 10627 MiB
79, 97 %, 10627 MiB
79, 97 %, 10627 MiB
80, 100 %, 10627 MiB
80, 100 %, 10627 MiB
80, 97 %, 10627 MiB
80, 99 %, 10627 MiB
80, 97 %, 10627 MiB
81, 95 %, 10627 MiB
81, 99 %, 10627 MiB
81, 97 %, 10627 MiB
81, 99 %, 10627 MiB
81, 99 %, 10627 MiB
82, 98 %, 10627 MiB
82, 100 %, 10627 MiB
82, 97 %, 10627 MiB
82, 99 %, 10627 MiB
83, 100 %, 10627 MiB
83, 100 %, 10627 MiB
83, 99 %, 10627 MiB
83, 97 %, 10627 MiB
83, 100 %, 10627 MiB
83, 96 %, 10627 MiB
83, 97 %, 10627 MiB
84, 100 %, 10627 MiB
84, 100 %, 10627 MiB
83, 96 %, 10627 MiB
84, 97 %, 10627 MiB
83, 99 %, 10627 MiB
83, 99 %, 10627 MiB
84, 98 %, 10627 MiB
84, 97 %, 10627 MiB
83, 100 %, 10627 MiB
83, 99 %, 10627 MiB
84, 100 %, 10627 MiB
83, 99 %, 10627 MiB
83, 99 %, 10627 MiB
83, 91 %, 6723 MiB
82, 100 %, 6727 MiB
83, 98 %, 6727 MiB
83, 72 %, 6727 MiB
84, 77 %, 6727 MiB
84, 87 %, 6727 MiB
84, 74 %, 6727 MiB
83, 82 %, 6727 MiB
83, 66 %, 6727 MiB
83, 81 %, 6727 MiB
83, 74 %, 6727 MiB
81, 100 %, 6727 MiB
81, 100 %, 6727 MiB
82, 99 %, 10127 MiB
83, 99 %, 10127 MiB
83, 98 %, 10127 MiB
83, 97 %, 10127 MiB
84, 100 %, 10127 MiB
83, 100 %, 10127 MiB
84, 97 %, 10127 MiB
83, 97 %, 10127 MiB
83, 100 %, 10127 MiB
83, 100 %, 10127 MiB
83, 98 %, 10127 MiB
83, 100 %, 10127 MiB
83, 100 %, 10127 MiB
84, 96 %, 10127 MiB
84, 98 %, 10127 MiB
83, 99 %, 10127 MiB
83, 98 %, 10127 MiB
84, 100 %, 10127 MiB
84, 100 %, 10127 MiB
84, 100 %, 10127 MiB
84, 97 %, 10127 MiB
83, 98 %, 10127 MiB
83, 100 %, 10127 MiB
83, 98 %, 10127 MiB
83, 96 %, 10127 MiB
84, 100 %, 10127 MiB
83, 99 %, 10127 MiB
84, 97 %, 10127 MiB
84, 100 %, 10127 MiB
84, 97 %, 10127 MiB
83, 99 %, 10127 MiB
84, 100 %, 10127 MiB
84, 98 %, 10127 MiB
84, 100 %, 10127 MiB
84, 100 %, 10127 MiB
84, 100 %, 10127 MiB
84, 95 %, 10127 MiB
84, 99 %, 10127 MiB
84, 100 %, 10127 MiB
83, 99 %, 10127 MiB
83, 100 %, 10127 MiB
84, 99 %, 10127 MiB
84, 100 %, 10127 MiB
85, 99 %, 10127 MiB
85, 98 %, 10127 MiB
85, 100 %, 10127 MiB
85, 99 %, 10127 MiB
84, 99 %, 10127 MiB
84, 100 %, 10127 MiB
85, 96 %, 10127 MiB
84, 100 %, 10127 MiB
85, 100 %, 10127 MiB
85, 97 %, 10127 MiB
85, 100 %, 10127 MiB
85, 100 %, 10127 MiB
85, 97 %, 10127 MiB
85, 99 %, 10127 MiB
85, 98 %, 10127 MiB
85, 100 %, 10127 MiB
85, 100 %, 10127 MiB
85, 99 %, 10127 MiB
85, 96 %, 10127 MiB
85, 100 %, 10127 MiB
84, 100 %, 10127 MiB
85, 100 %, 10127 MiB
84, 100 %, 10127 MiB
85, 97 %, 10127 MiB
85, 100 %, 10127 MiB
84, 99 %, 10127 MiB
84, 97 %, 10127 MiB
84, 100 %, 10127 MiB
84, 97 %, 10127 MiB
84, 96 %, 10127 MiB
85, 100 %, 10127 MiB
84, 100 %, 10127 MiB
84, 85 %, 6643 MiB
82, 100 %, 6647 MiB
81, 100 %, 6647 MiB
81, 100 %, 6647 MiB
83, 87 %, 6647 MiB
83, 86 %, 6647 MiB
83, 77 %, 6647 MiB
82, 100 %, 6647 MiB
84, 87 %, 6647 MiB
83, 58 %, 6647 MiB
83, 83 %, 6647 MiB
83, 66 %, 6647 MiB
81, 100 %, 6647 MiB
80, 100 %, 6647 MiB
