61, 0 %, 1 MiB
60, 0 %, 12 MiB
59, 0 %, 12 MiB
58, 0 %, 12 MiB
57, 0 %, 12 MiB
56, 0 %, 12 MiB
55, 0 %, 12 MiB
56, 4 %, 161 MiB
55, 32 %, 969 MiB
62, 100 %, 14753 MiB
63, 98 %, 14825 MiB
64, 100 %, 14825 MiB
65, 98 %, 14825 MiB
64, 100 %, 14825 MiB
67, 98 %, 14825 MiB
66, 100 %, 14825 MiB
68, 98 %, 14825 MiB
69, 100 %, 14825 MiB
70, 100 %, 14825 MiB
71, 100 %, 14825 MiB
71, 98 %, 14825 MiB
71, 100 %, 14825 MiB
72, 98 %, 14825 MiB
73, 100 %, 14825 MiB
72, 100 %, 14825 MiB
73, 100 %, 14825 MiB
74, 98 %, 14825 MiB
72, 100 %, 14825 MiB
67, 0 %, 14825 MiB
