Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fe33b96f840>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-06 04:57:14.632147 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 1  batch_size : 448  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-06 04:57:25.137875 - Epoch: 0 Iteration: 1  train.loss : 7.12109  train.total_ips : 42.73 img/s
DLL 2020-03-06 04:57:25.936088 - Epoch: 0 Iteration: 2  train.loss : 7.10547  train.total_ips : 561.29 img/s
DLL 2020-03-06 04:57:26.624016 - Epoch: 0 Iteration: 3  train.loss : 7.33203  train.total_ips : 651.30 img/s
DLL 2020-03-06 04:57:27.312257 - Epoch: 0 Iteration: 4  train.loss : 7.57031  train.total_ips : 651.01 img/s
DLL 2020-03-06 04:57:28.000764 - Epoch: 0 Iteration: 5  train.loss : 7.56641  train.total_ips : 650.74 img/s
DLL 2020-03-06 04:57:28.688766 - Epoch: 0 Iteration: 6  train.loss : 7.90234  train.total_ips : 651.24 img/s
DLL 2020-03-06 04:57:29.377298 - Epoch: 0 Iteration: 7  train.loss : 7.66016  train.total_ips : 650.73 img/s
DLL 2020-03-06 04:57:30.066040 - Epoch: 0 Iteration: 8  train.loss : 7.78125  train.total_ips : 650.54 img/s
DLL 2020-03-06 04:57:30.754599 - Epoch: 0 Iteration: 9  train.loss : 7.96484  train.total_ips : 650.69 img/s
DLL 2020-03-06 04:57:31.442965 - Epoch: 0 Iteration: 10  train.loss : 7.83984  train.total_ips : 650.88 img/s
DLL 2020-03-06 04:57:32.132095 - Epoch: 0 Iteration: 11  train.loss : 8.32031  train.total_ips : 650.16 img/s
DLL 2020-03-06 04:57:32.820243 - Epoch: 0 Iteration: 12  train.loss : 7.70703  train.total_ips : 651.09 img/s
DLL 2020-03-06 04:57:33.508426 - Epoch: 0 Iteration: 13  train.loss : 8.40625  train.total_ips : 651.05 img/s
DLL 2020-03-06 04:57:34.196399 - Epoch: 0 Iteration: 14  train.loss : 8.03125  train.total_ips : 651.25 img/s
DLL 2020-03-06 04:57:34.885258 - Epoch: 0 Iteration: 15  train.loss : 7.78125  train.total_ips : 650.42 img/s
DLL 2020-03-06 04:57:35.572466 - Epoch: 0 Iteration: 16  train.loss : 8.42969  train.total_ips : 651.97 img/s
DLL 2020-03-06 04:57:36.261308 - Epoch: 0 Iteration: 17  train.loss : 7.90234  train.total_ips : 650.44 img/s
DLL 2020-03-06 04:57:36.949150 - Epoch: 0 Iteration: 18  train.loss : 7.58203  train.total_ips : 651.39 img/s
DLL 2020-03-06 04:57:37.636874 - Epoch: 0 Iteration: 19  train.loss : 7.69531  train.total_ips : 651.49 img/s
DLL 2020-03-06 04:57:38.325086 - Epoch: 0 Iteration: 20  train.loss : 7.42969  train.total_ips : 651.03 img/s
DLL 2020-03-06 04:57:39.014133 - Epoch: 0 Iteration: 21  train.loss : 9.13281  train.total_ips : 650.24 img/s
DLL 2020-03-06 04:57:39.702862 - Epoch: 0 Iteration: 22  train.loss : 8.45312  train.total_ips : 650.54 img/s
DLL 2020-03-06 04:57:40.391349 - Epoch: 0 Iteration: 23  train.loss : 7.32812  train.total_ips : 650.77 img/s
DLL 2020-03-06 04:57:41.080453 - Epoch: 0 Iteration: 24  train.loss : 7.18359  train.total_ips : 650.19 img/s
DLL 2020-03-06 04:57:41.770376 - Epoch: 0 Iteration: 25  train.loss : 7.16406  train.total_ips : 649.41 img/s
DLL 2020-03-06 04:57:42.459266 - Epoch: 0 Iteration: 26  train.loss : 7.03125  train.total_ips : 650.40 img/s
DLL 2020-03-06 04:57:43.147794 - Epoch: 0 Iteration: 27  train.loss : 7.11719  train.total_ips : 650.71 img/s
DLL 2020-03-06 04:57:43.837634 - Epoch: 0 Iteration: 28  train.loss : 7.13281  train.total_ips : 649.50 img/s
DLL 2020-03-06 04:57:44.525986 - Epoch: 0 Iteration: 29  train.loss : 7.07422  train.total_ips : 650.91 img/s
DLL 2020-03-06 04:57:45.214982 - Epoch: 0 Iteration: 30  train.loss : 7.07422  train.total_ips : 650.28 img/s
DLL 2020-03-06 04:57:45.903695 - Epoch: 0 Iteration: 31  train.loss : 7.05078  train.total_ips : 650.56 img/s
DLL 2020-03-06 04:57:46.591599 - Epoch: 0 Iteration: 32  train.loss : 7.01562  train.total_ips : 651.32 img/s
DLL 2020-03-06 04:57:47.279894 - Epoch: 0 Iteration: 33  train.loss : 7.00781  train.total_ips : 650.96 img/s
DLL 2020-03-06 04:57:47.967890 - Epoch: 0 Iteration: 34  train.loss : 7.00000  train.total_ips : 651.23 img/s
DLL 2020-03-06 04:57:48.656304 - Epoch: 0 Iteration: 35  train.loss : 6.94141  train.total_ips : 650.84 img/s
DLL 2020-03-06 04:57:49.345040 - Epoch: 0 Iteration: 36  train.loss : 7.02734  train.total_ips : 650.57 img/s
DLL 2020-03-06 04:57:50.033294 - Epoch: 0 Iteration: 37  train.loss : 7.01172  train.total_ips : 650.99 img/s
DLL 2020-03-06 04:57:50.722241 - Epoch: 0 Iteration: 38  train.loss : 6.95312  train.total_ips : 650.33 img/s
DLL 2020-03-06 04:57:51.410769 - Epoch: 0 Iteration: 39  train.loss : 7.00781  train.total_ips : 650.73 img/s
DLL 2020-03-06 04:57:52.100413 - Epoch: 0 Iteration: 40  train.loss : 6.97266  train.total_ips : 649.68 img/s
DLL 2020-03-06 04:57:52.789845 - Epoch: 0 Iteration: 41  train.loss : 6.92969  train.total_ips : 649.88 img/s
DLL 2020-03-06 04:57:53.478160 - Epoch: 0 Iteration: 42  train.loss : 6.97266  train.total_ips : 650.93 img/s
DLL 2020-03-06 04:57:54.166772 - Epoch: 0 Iteration: 43  train.loss : 6.98828  train.total_ips : 650.65 img/s
DLL 2020-03-06 04:57:54.855741 - Epoch: 0 Iteration: 44  train.loss : 6.95703  train.total_ips : 650.32 img/s
DLL 2020-03-06 04:57:55.544869 - Epoch: 0 Iteration: 45  train.loss : 6.97266  train.total_ips : 650.16 img/s
DLL 2020-03-06 04:57:56.233987 - Epoch: 0 Iteration: 46  train.loss : 6.98047  train.total_ips : 650.19 img/s
DLL 2020-03-06 04:57:56.923141 - Epoch: 0 Iteration: 47  train.loss : 6.94531  train.total_ips : 650.14 img/s
DLL 2020-03-06 04:57:57.612384 - Epoch: 0 Iteration: 48  train.loss : 6.96875  train.total_ips : 650.05 img/s
DLL 2020-03-06 04:57:58.301593 - Epoch: 0 Iteration: 49  train.loss : 6.95312  train.total_ips : 650.10 img/s
DLL 2020-03-06 04:57:58.990943 - Epoch: 0 Iteration: 50  train.loss : 6.92578  train.total_ips : 649.95 img/s
DLL 2020-03-06 04:57:59.680571 - Epoch: 0 Iteration: 51  train.loss : 6.91406  train.total_ips : 649.69 img/s
DLL 2020-03-06 04:58:00.371003 - Epoch: 0 Iteration: 52  train.loss : 6.94141  train.total_ips : 648.94 img/s
DLL 2020-03-06 04:58:01.061085 - Epoch: 0 Iteration: 53  train.loss : 6.95312  train.total_ips : 649.26 img/s
DLL 2020-03-06 04:58:01.749875 - Epoch: 0 Iteration: 54  train.loss : 6.92578  train.total_ips : 650.48 img/s
DLL 2020-03-06 04:58:02.439382 - Epoch: 0 Iteration: 55  train.loss : 6.94531  train.total_ips : 649.80 img/s
DLL 2020-03-06 04:58:03.129418 - Epoch: 0 Iteration: 56  train.loss : 6.91406  train.total_ips : 649.31 img/s
DLL 2020-03-06 04:58:03.819016 - Epoch: 0 Iteration: 57  train.loss : 6.92578  train.total_ips : 649.71 img/s
DLL 2020-03-06 04:58:04.509872 - Epoch: 0 Iteration: 58  train.loss : 6.91016  train.total_ips : 648.54 img/s
DLL 2020-03-06 04:58:05.200226 - Epoch: 0 Iteration: 59  train.loss : 6.98047  train.total_ips : 649.03 img/s
DLL 2020-03-06 04:58:05.890201 - Epoch: 0 Iteration: 60  train.loss : 6.91406  train.total_ips : 649.36 img/s
DLL 2020-03-06 04:58:06.580313 - Epoch: 0 Iteration: 61  train.loss : 6.92969  train.total_ips : 649.23 img/s
DLL 2020-03-06 04:58:07.270558 - Epoch: 0 Iteration: 62  train.loss : 6.91016  train.total_ips : 649.13 img/s
DLL 2020-03-06 04:58:07.960536 - Epoch: 0 Iteration: 63  train.loss : 6.92969  train.total_ips : 649.36 img/s
DLL 2020-03-06 04:58:08.650699 - Epoch: 0 Iteration: 64  train.loss : 6.93750  train.total_ips : 649.19 img/s
DLL 2020-03-06 04:58:09.341105 - Epoch: 0 Iteration: 65  train.loss : 6.93750  train.total_ips : 648.99 img/s
DLL 2020-03-06 04:58:10.030778 - Epoch: 0 Iteration: 66  train.loss : 6.92969  train.total_ips : 649.64 img/s
DLL 2020-03-06 04:58:10.721218 - Epoch: 0 Iteration: 67  train.loss : 6.91797  train.total_ips : 648.93 img/s
DLL 2020-03-06 04:58:11.410359 - Epoch: 0 Iteration: 68  train.loss : 6.92578  train.total_ips : 650.15 img/s
DLL 2020-03-06 04:58:12.100871 - Epoch: 0 Iteration: 69  train.loss : 6.91797  train.total_ips : 648.85 img/s
DLL 2020-03-06 04:58:12.791105 - Epoch: 0 Iteration: 70  train.loss : 6.95703  train.total_ips : 649.12 img/s
DLL 2020-03-06 04:58:13.480830 - Epoch: 0 Iteration: 71  train.loss : 6.91016  train.total_ips : 649.60 img/s
DLL 2020-03-06 04:58:14.172391 - Epoch: 0 Iteration: 72  train.loss : 6.91797  train.total_ips : 647.90 img/s
DLL 2020-03-06 04:58:14.862349 - Epoch: 0 Iteration: 73  train.loss : 6.92969  train.total_ips : 649.37 img/s
DLL 2020-03-06 04:58:15.552383 - Epoch: 0 Iteration: 74  train.loss : 6.91797  train.total_ips : 649.30 img/s
DLL 2020-03-06 04:58:16.242623 - Epoch: 0 Iteration: 75  train.loss : 6.92188  train.total_ips : 649.12 img/s
DLL 2020-03-06 04:58:16.933267 - Epoch: 0 Iteration: 76  train.loss : 6.92578  train.total_ips : 648.75 img/s
DLL 2020-03-06 04:58:17.623502 - Epoch: 0 Iteration: 77  train.loss : 6.93750  train.total_ips : 649.12 img/s
DLL 2020-03-06 04:58:18.313821 - Epoch: 0 Iteration: 78  train.loss : 6.91406  train.total_ips : 649.06 img/s
DLL 2020-03-06 04:58:19.003929 - Epoch: 0 Iteration: 79  train.loss : 6.92578  train.total_ips : 649.23 img/s
DLL 2020-03-06 04:58:19.694104 - Epoch: 0 Iteration: 80  train.loss : 6.91406  train.total_ips : 649.20 img/s
DLL 2020-03-06 04:58:20.384067 - Epoch: 0 Iteration: 81  train.loss : 6.94922  train.total_ips : 649.38 img/s
DLL 2020-03-06 04:58:21.073912 - Epoch: 0 Iteration: 82  train.loss : 6.91016  train.total_ips : 649.48 img/s
DLL 2020-03-06 04:58:21.765443 - Epoch: 0 Iteration: 83  train.loss : 6.90625  train.total_ips : 647.93 img/s
DLL 2020-03-06 04:58:22.455740 - Epoch: 0 Iteration: 84  train.loss : 6.91016  train.total_ips : 649.06 img/s
