Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f1c7695d840>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-06 04:58:50.967845 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 1  batch_size : 448  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-06 04:59:01.257198 - Epoch: 0 Iteration: 1  train.loss : 7.09375  train.total_ips : 43.59 img/s
DLL 2020-03-06 04:59:02.044045 - Epoch: 0 Iteration: 2  train.loss : 7.13281  train.total_ips : 569.40 img/s
DLL 2020-03-06 04:59:02.732127 - Epoch: 0 Iteration: 3  train.loss : 7.40625  train.total_ips : 651.15 img/s
DLL 2020-03-06 04:59:03.420776 - Epoch: 0 Iteration: 4  train.loss : 7.56641  train.total_ips : 650.62 img/s
DLL 2020-03-06 04:59:04.108755 - Epoch: 0 Iteration: 5  train.loss : 7.57422  train.total_ips : 651.25 img/s
DLL 2020-03-06 04:59:04.798252 - Epoch: 0 Iteration: 6  train.loss : 7.57422  train.total_ips : 649.82 img/s
DLL 2020-03-06 04:59:05.487278 - Epoch: 0 Iteration: 7  train.loss : 7.64453  train.total_ips : 650.25 img/s
DLL 2020-03-06 04:59:06.175657 - Epoch: 0 Iteration: 8  train.loss : 7.96484  train.total_ips : 650.87 img/s
DLL 2020-03-06 04:59:06.865070 - Epoch: 0 Iteration: 9  train.loss : 7.73438  train.total_ips : 649.89 img/s
DLL 2020-03-06 04:59:07.552894 - Epoch: 0 Iteration: 10  train.loss : 7.78516  train.total_ips : 651.40 img/s
DLL 2020-03-06 04:59:08.241896 - Epoch: 0 Iteration: 11  train.loss : 8.49219  train.total_ips : 650.29 img/s
DLL 2020-03-06 04:59:08.931707 - Epoch: 0 Iteration: 12  train.loss : 7.98828  train.total_ips : 649.51 img/s
DLL 2020-03-06 04:59:09.619963 - Epoch: 0 Iteration: 13  train.loss : 9.05469  train.total_ips : 650.98 img/s
DLL 2020-03-06 04:59:10.309501 - Epoch: 0 Iteration: 14  train.loss : 9.33594  train.total_ips : 649.79 img/s
DLL 2020-03-06 04:59:10.997907 - Epoch: 0 Iteration: 15  train.loss : 9.32031  train.total_ips : 650.84 img/s
DLL 2020-03-06 04:59:11.686964 - Epoch: 0 Iteration: 16  train.loss : 8.10156  train.total_ips : 650.22 img/s
DLL 2020-03-06 04:59:12.376307 - Epoch: 0 Iteration: 17  train.loss : 9.41406  train.total_ips : 649.96 img/s
DLL 2020-03-06 04:59:13.065805 - Epoch: 0 Iteration: 18  train.loss : 7.79688  train.total_ips : 649.81 img/s
DLL 2020-03-06 04:59:13.755587 - Epoch: 0 Iteration: 19  train.loss : 7.55859  train.total_ips : 649.54 img/s
DLL 2020-03-06 04:59:14.444593 - Epoch: 0 Iteration: 20  train.loss : 7.50391  train.total_ips : 650.27 img/s
