Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f196a4b5730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-08 22:24:58.639858 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 448  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-08 22:25:08.972507 - Epoch: 0 Iteration: 1  train.loss : 7.05078  train.total_ips : 43.40 img/s
DLL 2020-03-08 22:25:09.768766 - Epoch: 0 Iteration: 2  train.loss : 7.06641  train.total_ips : 562.68 img/s
DLL 2020-03-08 22:25:10.454998 - Epoch: 0 Iteration: 3  train.loss : 7.30859  train.total_ips : 652.91 img/s
DLL 2020-03-08 22:25:11.143252 - Epoch: 0 Iteration: 4  train.loss : 7.44922  train.total_ips : 650.98 img/s
DLL 2020-03-08 22:25:11.829725 - Epoch: 0 Iteration: 5  train.loss : 7.65625  train.total_ips : 652.68 img/s
DLL 2020-03-08 22:25:12.517714 - Epoch: 0 Iteration: 6  train.loss : 7.98047  train.total_ips : 651.24 img/s
DLL 2020-03-08 22:25:13.204109 - Epoch: 0 Iteration: 7  train.loss : 7.60938  train.total_ips : 652.77 img/s
DLL 2020-03-08 22:25:13.891772 - Epoch: 0 Iteration: 8  train.loss : 7.84766  train.total_ips : 651.54 img/s
DLL 2020-03-08 22:25:14.578256 - Epoch: 0 Iteration: 9  train.loss : 9.33594  train.total_ips : 652.67 img/s
DLL 2020-03-08 22:25:15.266253 - Epoch: 0 Iteration: 10  train.loss : 8.45312  train.total_ips : 651.24 img/s
DLL 2020-03-08 22:25:15.953547 - Epoch: 0 Iteration: 11  train.loss : 7.69922  train.total_ips : 651.89 img/s
DLL 2020-03-08 22:25:16.640733 - Epoch: 0 Iteration: 12  train.loss : 7.36328  train.total_ips : 652.00 img/s
DLL 2020-03-08 22:25:17.328323 - Epoch: 0 Iteration: 13  train.loss : 7.89062  train.total_ips : 651.62 img/s
DLL 2020-03-08 22:25:18.014593 - Epoch: 0 Iteration: 14  train.loss : 8.91406  train.total_ips : 652.87 img/s
DLL 2020-03-08 22:25:18.702192 - Epoch: 0 Iteration: 15  train.loss : 8.04688  train.total_ips : 651.61 img/s
