66, 16 %, 1137 MiB
65, 11 %, 1145 MiB
65, 38 %, 1175 MiB
65, 43 %, 1512 MiB
64, 20 %, 1913 MiB
63, 37 %, 1913 MiB
62, 23 %, 1912 MiB
62, 8 %, 1912 MiB
62, 15 %, 1925 MiB
61, 1 %, 1897 MiB
60, 1 %, 1894 MiB
60, 40 %, 1906 MiB
60, 11 %, 1906 MiB
59, 15 %, 1906 MiB
59, 40 %, 2606 MiB
61, 80 %, 44942 MiB
60, 50 %, 45038 MiB
62, 100 %, 47702 MiB
62, 97 %, 47708 MiB
64, 80 %, 47728 MiB
63, 45 %, 47718 MiB
65, 92 %, 47722 MiB
65, 63 %, 47762 MiB
64, 8 %, 47768 MiB
67, 100 %, 47756 MiB
67, 100 %, 47756 MiB
68, 100 %, 47756 MiB
68, 86 %, 47756 MiB
68, 99 %, 47759 MiB
67, 86 %, 47759 MiB
69, 99 %, 47759 MiB
68, 58 %, 47759 MiB
68, 4 %, 47737 MiB
70, 81 %, 47753 MiB
71, 100 %, 47787 MiB
71, 100 %, 47769 MiB
71, 100 %, 47741 MiB
71, 100 %, 47743 MiB
71, 56 %, 47743 MiB
71, 24 %, 47767 MiB
72, 85 %, 47767 MiB
73, 100 %, 47753 MiB
72, 100 %, 47744 MiB
72, 63 %, 47746 MiB
73, 87 %, 47774 MiB
73, 100 %, 47774 MiB
74, 100 %, 47774 MiB
74, 100 %, 47774 MiB
72, 84 %, 47774 MiB
74, 58 %, 47774 MiB
74, 100 %, 47774 MiB
73, 100 %, 47774 MiB
74, 62 %, 47774 MiB
74, 96 %, 47774 MiB
74, 17 %, 47775 MiB
74, 95 %, 47777 MiB
75, 100 %, 47777 MiB
74, 100 %, 47775 MiB
75, 100 %, 47774 MiB
75, 100 %, 47774 MiB
73, 39 %, 47774 MiB
74, 2 %, 47774 MiB
74, 87 %, 47774 MiB
74, 100 %, 47774 MiB
75, 100 %, 47774 MiB
74, 100 %, 47774 MiB
75, 55 %, 47774 MiB
75, 100 %, 47722 MiB
75, 100 %, 47722 MiB
75, 100 %, 47742 MiB
73, 100 %, 47742 MiB
75, 38 %, 47722 MiB
75, 100 %, 47741 MiB
75, 100 %, 47741 MiB
75, 100 %, 47743 MiB
75, 100 %, 47743 MiB
75, 100 %, 47743 MiB
75, 65 %, 47743 MiB
75, 100 %, 47744 MiB
75, 100 %, 47774 MiB
74, 46 %, 47774 MiB
73, 1 %, 47774 MiB
75, 81 %, 47774 MiB
75, 100 %, 47774 MiB
75, 100 %, 47774 MiB
74, 100 %, 47774 MiB
73, 100 %, 47774 MiB
75, 73 %, 47774 MiB
75, 100 %, 47774 MiB
75, 100 %, 47774 MiB
74, 100 %, 47774 MiB
73, 8 %, 47774 MiB
75, 100 %, 47774 MiB
75, 100 %, 47774 MiB
75, 100 %, 47774 MiB
75, 100 %, 47774 MiB
75, 100 %, 45358 MiB
75, 52 %, 47746 MiB
75, 100 %, 47746 MiB
74, 100 %, 47746 MiB
75, 100 %, 47746 MiB
75, 100 %, 47746 MiB
74, 100 %, 47746 MiB
75, 62 %, 47746 MiB
75, 100 %, 47776 MiB
75, 100 %, 47776 MiB
74, 100 %, 47776 MiB
74, 100 %, 47780 MiB
74, 100 %, 47779 MiB
75, 99 %, 47758 MiB
75, 100 %, 47758 MiB
74, 100 %, 47758 MiB
75, 100 %, 47787 MiB
74, 53 %, 47787 MiB
75, 100 %, 47781 MiB
75, 96 %, 47781 MiB
75, 100 %, 47789 MiB
74, 100 %, 47775 MiB
75, 100 %, 47775 MiB
74, 100 %, 47775 MiB
72, 1 %, 47775 MiB
70, 22 %, 47767 MiB
