Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fd39e5d8730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-05 20:02:22.648692 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 1  batch_size : 928  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-05 20:02:44.044793 - Epoch: 0 Iteration: 1  train.loss : 7.10547  train.total_ips : 43.40 img/s
DLL 2020-03-05 20:02:45.956641 - Epoch: 0 Iteration: 2  train.loss : 7.05859  train.total_ips : 485.42 img/s
DLL 2020-03-05 20:02:47.678947 - Epoch: 0 Iteration: 3  train.loss : 7.13281  train.total_ips : 538.84 img/s
DLL 2020-03-05 20:02:49.287938 - Epoch: 0 Iteration: 4  train.loss : 7.16406  train.total_ips : 576.80 img/s
DLL 2020-03-05 20:02:50.940531 - Epoch: 0 Iteration: 5  train.loss : 7.23438  train.total_ips : 561.57 img/s
DLL 2020-03-05 20:02:52.576123 - Epoch: 0 Iteration: 6  train.loss : 7.68750  train.total_ips : 567.41 img/s
DLL 2020-03-05 20:02:54.107495 - Epoch: 0 Iteration: 7  train.loss : 7.53516  train.total_ips : 606.03 img/s
DLL 2020-03-05 20:02:55.708815 - Epoch: 0 Iteration: 8  train.loss : 8.14844  train.total_ips : 579.56 img/s
DLL 2020-03-05 20:02:57.342335 - Epoch: 0 Iteration: 9  train.loss : 7.79297  train.total_ips : 568.13 img/s
DLL 2020-03-05 20:02:58.849721 - Epoch: 0 Iteration: 10  train.loss : 7.58203  train.total_ips : 615.68 img/s
DLL 2020-03-05 20:03:00.573246 - Epoch: 0 Iteration: 11  train.loss : 7.66406  train.total_ips : 538.46 img/s
DLL 2020-03-05 20:03:02.150710 - Epoch: 0 Iteration: 12  train.loss : 7.51953  train.total_ips : 588.32 img/s
DLL 2020-03-05 20:03:03.724968 - Epoch: 0 Iteration: 13  train.loss : 7.90234  train.total_ips : 589.52 img/s
DLL 2020-03-05 20:03:05.307838 - Epoch: 0 Iteration: 14  train.loss : 7.49219  train.total_ips : 586.31 img/s
DLL 2020-03-05 20:03:06.864496 - Epoch: 0 Iteration: 15  train.loss : 7.85938  train.total_ips : 596.19 img/s
DLL 2020-03-05 20:03:08.405418 - Epoch: 0 Iteration: 16  train.loss : 7.79297  train.total_ips : 602.26 img/s
DLL 2020-03-05 20:03:10.010369 - Epoch: 0 Iteration: 17  train.loss : 7.93750  train.total_ips : 578.25 img/s
DLL 2020-03-05 20:03:11.572996 - Epoch: 0 Iteration: 18  train.loss : 7.75391  train.total_ips : 593.91 img/s
DLL 2020-03-05 20:03:13.066691 - Epoch: 0 Iteration: 19  train.loss : 7.80469  train.total_ips : 621.31 img/s
DLL 2020-03-05 20:03:14.645028 - Epoch: 0 Iteration: 20  train.loss : 7.71875  train.total_ips : 587.99 img/s
DLL 2020-03-05 20:03:16.198002 - Epoch: 0 Iteration: 21  train.loss : 7.37500  train.total_ips : 597.61 img/s
DLL 2020-03-05 20:03:17.791211 - Epoch: 0 Iteration: 22  train.loss : 7.36719  train.total_ips : 582.51 img/s
DLL 2020-03-05 20:03:19.361285 - Epoch: 0 Iteration: 23  train.loss : 7.48438  train.total_ips : 591.09 img/s
DLL 2020-03-05 20:03:20.876719 - Epoch: 0 Iteration: 24  train.loss : 7.48828  train.total_ips : 612.41 img/s
DLL 2020-03-05 20:03:22.469133 - Epoch: 0 Iteration: 25  train.loss : 7.48438  train.total_ips : 582.80 img/s
DLL 2020-03-05 20:03:24.027504 - Epoch: 0 Iteration: 26  train.loss : 7.45312  train.total_ips : 595.53 img/s
DLL 2020-03-05 20:03:25.603655 - Epoch: 0 Iteration: 27  train.loss : 7.30469  train.total_ips : 588.81 img/s
DLL 2020-03-05 20:03:27.179162 - Epoch: 0 Iteration: 28  train.loss : 7.47266  train.total_ips : 589.05 img/s
