Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fbadc510840>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-02 03:27:01.926913 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 1  batch_size : 128  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-02 03:27:06.055451 - Epoch: 0 Iteration: 1  train.loss : 7.03516  train.total_ips : 31.16 img/s
DLL 2020-03-02 03:27:06.257819 - Epoch: 0 Iteration: 2  train.loss : 8.00000  train.total_ips : 632.62 img/s
DLL 2020-03-02 03:27:06.459566 - Epoch: 0 Iteration: 3  train.loss : 8.29688  train.total_ips : 634.69 img/s
DLL 2020-03-02 03:27:06.661577 - Epoch: 0 Iteration: 4  train.loss : 8.42969  train.total_ips : 633.84 img/s
DLL 2020-03-02 03:27:06.863545 - Epoch: 0 Iteration: 5  train.loss : 8.52344  train.total_ips : 633.97 img/s
DLL 2020-03-02 03:27:07.065289 - Epoch: 0 Iteration: 6  train.loss : 8.68750  train.total_ips : 634.68 img/s
DLL 2020-03-02 03:27:07.267373 - Epoch: 0 Iteration: 7  train.loss : 9.15625  train.total_ips : 633.59 img/s
DLL 2020-03-02 03:27:07.469102 - Epoch: 0 Iteration: 8  train.loss : 8.13281  train.total_ips : 634.72 img/s
DLL 2020-03-02 03:27:07.670828 - Epoch: 0 Iteration: 9  train.loss : 10.64062  train.total_ips : 634.78 img/s
DLL 2020-03-02 03:27:07.872439 - Epoch: 0 Iteration: 10  train.loss : 9.51562  train.total_ips : 635.09 img/s
DLL 2020-03-02 03:27:08.073943 - Epoch: 0 Iteration: 11  train.loss : 8.92188  train.total_ips : 635.41 img/s
DLL 2020-03-02 03:27:08.275533 - Epoch: 0 Iteration: 12  train.loss : 8.87500  train.total_ips : 635.17 img/s
DLL 2020-03-02 03:27:08.477180 - Epoch: 0 Iteration: 13  train.loss : 9.22656  train.total_ips : 634.97 img/s
DLL 2020-03-02 03:27:08.678831 - Epoch: 0 Iteration: 14  train.loss : 9.66406  train.total_ips : 634.97 img/s
DLL 2020-03-02 03:27:08.880317 - Epoch: 0 Iteration: 15  train.loss : 8.76562  train.total_ips : 635.50 img/s
DLL 2020-03-02 03:27:09.081835 - Epoch: 0 Iteration: 16  train.loss : 8.25781  train.total_ips : 635.36 img/s
DLL 2020-03-02 03:27:09.283403 - Epoch: 0 Iteration: 17  train.loss : 7.88672  train.total_ips : 635.29 img/s
DLL 2020-03-02 03:27:09.485045 - Epoch: 0 Iteration: 18  train.loss : 7.93359  train.total_ips : 635.00 img/s
DLL 2020-03-02 03:27:09.686430 - Epoch: 0 Iteration: 19  train.loss : 8.39844  train.total_ips : 635.80 img/s
DLL 2020-03-02 03:27:09.887612 - Epoch: 0 Iteration: 20  train.loss : 7.64844  train.total_ips : 636.48 img/s
DLL 2020-03-02 03:27:10.089028 - Epoch: 0 Iteration: 21  train.loss : 7.60938  train.total_ips : 635.71 img/s
DLL 2020-03-02 03:27:10.290009 - Epoch: 0 Iteration: 22  train.loss : 7.36719  train.total_ips : 637.11 img/s
DLL 2020-03-02 03:27:10.491142 - Epoch: 0 Iteration: 23  train.loss : 7.49219  train.total_ips : 636.59 img/s
DLL 2020-03-02 03:27:10.692210 - Epoch: 0 Iteration: 24  train.loss : 7.21875  train.total_ips : 636.80 img/s
DLL 2020-03-02 03:27:10.893551 - Epoch: 0 Iteration: 25  train.loss : 7.43359  train.total_ips : 635.94 img/s
DLL 2020-03-02 03:27:11.094756 - Epoch: 0 Iteration: 26  train.loss : 7.35547  train.total_ips : 636.37 img/s
