Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f19bddec840>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-02 08:19:02.138633 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 1  batch_size : 448  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-02 08:19:11.213332 - Epoch: 0 Iteration: 1  train.loss : 7.03906  train.total_ips : 49.44 img/s
DLL 2020-03-02 08:19:11.976286 - Epoch: 0 Iteration: 2  train.loss : 7.06641  train.total_ips : 587.22 img/s
DLL 2020-03-02 08:19:12.659302 - Epoch: 0 Iteration: 3  train.loss : 7.32422  train.total_ips : 655.98 img/s
DLL 2020-03-02 08:19:13.341774 - Epoch: 0 Iteration: 4  train.loss : 7.43359  train.total_ips : 656.50 img/s
DLL 2020-03-02 08:19:14.024907 - Epoch: 0 Iteration: 5  train.loss : 7.52344  train.total_ips : 655.86 img/s
DLL 2020-03-02 08:19:14.707385 - Epoch: 0 Iteration: 6  train.loss : 7.63672  train.total_ips : 656.50 img/s
DLL 2020-03-02 08:19:15.389475 - Epoch: 0 Iteration: 7  train.loss : 8.15625  train.total_ips : 656.86 img/s
DLL 2020-03-02 08:19:16.071995 - Epoch: 0 Iteration: 8  train.loss : 7.81641  train.total_ips : 656.45 img/s
DLL 2020-03-02 08:19:16.753893 - Epoch: 0 Iteration: 9  train.loss : 7.86328  train.total_ips : 657.05 img/s
DLL 2020-03-02 08:19:17.435757 - Epoch: 0 Iteration: 10  train.loss : 8.67969  train.total_ips : 657.09 img/s
DLL 2020-03-02 08:19:18.117433 - Epoch: 0 Iteration: 11  train.loss : 7.75391  train.total_ips : 657.27 img/s
DLL 2020-03-02 08:19:18.799152 - Epoch: 0 Iteration: 12  train.loss : 7.72656  train.total_ips : 657.22 img/s
DLL 2020-03-02 08:19:19.481070 - Epoch: 0 Iteration: 13  train.loss : 8.34375  train.total_ips : 657.04 img/s
