Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fa4d33f4730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-02-25 21:43:29.271322 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 1  batch_size : 128  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-02-25 21:43:33.170822 - Epoch: 0 Iteration: 1  train.loss : 6.93359  train.total_ips : 32.98 img/s
DLL 2020-02-25 21:43:33.379999 - Epoch: 0 Iteration: 2  train.loss : 8.13281  train.total_ips : 612.02 img/s
DLL 2020-02-25 21:43:33.588723 - Epoch: 0 Iteration: 3  train.loss : 9.44531  train.total_ips : 613.42 img/s
DLL 2020-02-25 21:43:33.797358 - Epoch: 0 Iteration: 4  train.loss : 8.86719  train.total_ips : 613.69 img/s
DLL 2020-02-25 21:43:34.006188 - Epoch: 0 Iteration: 5  train.loss : 8.73438  train.total_ips : 613.10 img/s
DLL 2020-02-25 21:43:34.214529 - Epoch: 0 Iteration: 6  train.loss : 8.15625  train.total_ips : 614.55 img/s
DLL 2020-02-25 21:43:34.423533 - Epoch: 0 Iteration: 7  train.loss : 8.28906  train.total_ips : 612.59 img/s
DLL 2020-02-25 21:43:34.634863 - Epoch: 0 Iteration: 8  train.loss : 9.14062  train.total_ips : 605.85 img/s
DLL 2020-02-25 21:43:34.860508 - Epoch: 0 Iteration: 9  train.loss : 8.46094  train.total_ips : 567.45 img/s
DLL 2020-02-25 21:43:35.083107 - Epoch: 0 Iteration: 10  train.loss : 8.06250  train.total_ips : 575.19 img/s
DLL 2020-02-25 21:43:35.292085 - Epoch: 0 Iteration: 11  train.loss : 8.51562  train.total_ips : 612.71 img/s
DLL 2020-02-25 21:43:35.510831 - Epoch: 0 Iteration: 12  train.loss : 7.13672  train.total_ips : 585.32 img/s
DLL 2020-02-25 21:43:35.720196 - Epoch: 0 Iteration: 13  train.loss : 8.48438  train.total_ips : 611.54 img/s
