Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f5b6574e730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-06 22:57:03.220671 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 608  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-06 22:57:15.636254 - Epoch: 0 Iteration: 1  train.loss : 7.05078  train.total_ips : 49.07 img/s
DLL 2020-03-06 22:57:16.472515 - Epoch: 0 Iteration: 2  train.loss : 7.06641  train.total_ips : 727.11 img/s
DLL 2020-03-06 22:57:17.194092 - Epoch: 0 Iteration: 3  train.loss : 7.21875  train.total_ips : 842.69 img/s
DLL 2020-03-06 22:57:17.915885 - Epoch: 0 Iteration: 4  train.loss : 7.24219  train.total_ips : 842.47 img/s
DLL 2020-03-06 22:57:18.637736 - Epoch: 0 Iteration: 5  train.loss : 7.27344  train.total_ips : 842.59 img/s
DLL 2020-03-06 22:57:19.359829 - Epoch: 0 Iteration: 6  train.loss : 7.45312  train.total_ips : 842.00 img/s
DLL 2020-03-06 22:57:20.081305 - Epoch: 0 Iteration: 7  train.loss : 7.60156  train.total_ips : 842.82 img/s
DLL 2020-03-06 22:57:20.802869 - Epoch: 0 Iteration: 8  train.loss : 7.72656  train.total_ips : 842.73 img/s
DLL 2020-03-06 22:57:21.524549 - Epoch: 0 Iteration: 9  train.loss : 7.82422  train.total_ips : 842.58 img/s
DLL 2020-03-06 22:57:22.245820 - Epoch: 0 Iteration: 10  train.loss : 7.68750  train.total_ips : 843.21 img/s
DLL 2020-03-06 22:57:22.967393 - Epoch: 0 Iteration: 11  train.loss : 8.07031  train.total_ips : 842.68 img/s
DLL 2020-03-06 22:57:23.688676 - Epoch: 0 Iteration: 12  train.loss : 7.79297  train.total_ips : 843.02 img/s
DLL 2020-03-06 22:57:24.409740 - Epoch: 0 Iteration: 13  train.loss : 7.66797  train.total_ips : 843.29 img/s
