46, 0 %, 0 MiB
46, 0 %, 12 MiB
46, 7 %, 755 MiB
46, 0 %, 875 MiB
45, 0 %, 875 MiB
45, 0 %, 2097 MiB
45, 9 %, 4549 MiB
51, 89 %, 26249 MiB
52, 81 %, 30337 MiB
52, 96 %, 25961 MiB
51, 90 %, 26243 MiB
52, 93 %, 21681 MiB
54, 100 %, 26827 MiB
56, 100 %, 31157 MiB
57, 99 %, 31157 MiB
58, 99 %, 31157 MiB
58, 99 %, 31157 MiB
58, 99 %, 31157 MiB
58, 100 %, 31157 MiB
58, 99 %, 31157 MiB
58, 100 %, 31157 MiB
59, 99 %, 31157 MiB
59, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
59, 99 %, 31157 MiB
59, 100 %, 31157 MiB
60, 100 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
59, 100 %, 31157 MiB
60, 100 %, 31157 MiB
60, 100 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
59, 100 %, 31157 MiB
60, 100 %, 31157 MiB
61, 99 %, 31157 MiB
57, 5 %, 31157 MiB
60, 100 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
61, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 100 %, 31157 MiB
60, 99 %, 31157 MiB
60, 100 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
59, 100 %, 31157 MiB
60, 100 %, 31157 MiB
60, 99 %, 31157 MiB
61, 99 %, 31157 MiB
61, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 100 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
61, 99 %, 31157 MiB
60, 100 %, 31157 MiB
60, 99 %, 31157 MiB
59, 100 %, 31157 MiB
60, 100 %, 31157 MiB
60, 99 %, 31157 MiB
60, 99 %, 31157 MiB
55, 15 %, 30383 MiB
52, 100 %, 0 MiB
