45, 0 %, 0 MiB
44, 0 %, 0 MiB
44, 5 %, 445 MiB
44, 5 %, 795 MiB
44, 0 %, 1205 MiB
44, 0 %, 1205 MiB
43, 0 %, 1205 MiB
44, 18 %, 7931 MiB
44, 18 %, 17539 MiB
47, 50 %, 28765 MiB
49, 92 %, 28765 MiB
49, 92 %, 28777 MiB
50, 59 %, 28777 MiB
50, 92 %, 30079 MiB
51, 74 %, 30093 MiB
51, 92 %, 30095 MiB
52, 92 %, 30095 MiB
49, 2 %, 30095 MiB
46, 0 %, 30095 MiB
47, 0 %, 30095 MiB
46, 0 %, 30095 MiB
50, 92 %, 30095 MiB
50, 52 %, 30095 MiB
52, 92 %, 30095 MiB
53, 80 %, 30095 MiB
52, 92 %, 30095 MiB
53, 92 %, 30095 MiB
52, 92 %, 30095 MiB
53, 92 %, 30095 MiB
49, 0 %, 30095 MiB
48, 6 %, 30095 MiB
47, 0 %, 30095 MiB
