60, 0 %, 0 MiB
60, 0 %, 11 MiB
60, 5 %, 550 MiB
59, 0 %, 1562 MiB
59, 0 %, 1562 MiB
59, 0 %, 1562 MiB
59, 0 %, 1562 MiB
58, 0 %, 1562 MiB
59, 0 %, 8942 MiB
65, 86 %, 14250 MiB
67, 86 %, 14254 MiB
69, 96 %, 14254 MiB
68, 86 %, 14254 MiB
67, 99 %, 14254 MiB
69, 91 %, 14254 MiB
70, 86 %, 15432 MiB
68, 87 %, 15432 MiB
67, 98 %, 15434 MiB
67, 100 %, 15434 MiB
69, 92 %, 15434 MiB
69, 84 %, 15434 MiB
69, 86 %, 15434 MiB
69, 88 %, 15434 MiB
69, 90 %, 15434 MiB
67, 100 %, 15434 MiB
69, 89 %, 15434 MiB
68, 84 %, 15434 MiB
69, 84 %, 15434 MiB
69, 84 %, 15434 MiB
70, 89 %, 15434 MiB
67, 98 %, 15434 MiB
67, 100 %, 15434 MiB
69, 89 %, 15434 MiB
68, 84 %, 15434 MiB
70, 83 %, 15434 MiB
70, 94 %, 15434 MiB
69, 99 %, 15434 MiB
68, 96 %, 15434 MiB
70, 86 %, 15434 MiB
71, 85 %, 15434 MiB
71, 100 %, 15434 MiB
68, 93 %, 15434 MiB
69, 86 %, 15434 MiB
71, 91 %, 15434 MiB
70, 86 %, 15434 MiB
69, 86 %, 15434 MiB
69, 100 %, 15434 MiB
71, 89 %, 15434 MiB
72, 85 %, 15434 MiB
69, 95 %, 15434 MiB
70, 99 %, 15434 MiB
70, 86 %, 15434 MiB
71, 86 %, 15434 MiB
71, 90 %, 15434 MiB
69, 100 %, 15434 MiB
71, 89 %, 15434 MiB
72, 85 %, 15434 MiB
72, 90 %, 15434 MiB
70, 100 %, 15434 MiB
71, 95 %, 15434 MiB
72, 86 %, 15434 MiB
71, 85 %, 15434 MiB
69, 97 %, 15434 MiB
71, 95 %, 15434 MiB
67, 67 %, 15434 MiB
