69, 29 %, 1431 MiB
68, 21 %, 1464 MiB
69, 24 %, 1407 MiB
69, 22 %, 1407 MiB
68, 31 %, 1437 MiB
68, 26 %, 1437 MiB
66, 16 %, 1405 MiB
67, 14 %, 1406 MiB
68, 34 %, 1477 MiB
66, 23 %, 1402 MiB
67, 25 %, 1674 MiB
67, 11 %, 1670 MiB
66, 9 %, 23467 MiB
66, 10 %, 23467 MiB
66, 22 %, 23471 MiB
66, 17 %, 23472 MiB
66, 22 %, 23532 MiB
66, 7 %, 23531 MiB
66, 7 %, 23530 MiB
66, 9 %, 23528 MiB
65, 8 %, 23466 MiB
65, 7 %, 23496 MiB
65, 13 %, 23494 MiB
66, 22 %, 23529 MiB
65, 8 %, 23503 MiB
65, 23 %, 23504 MiB
65, 6 %, 23503 MiB
65, 7 %, 23503 MiB
65, 5 %, 23502 MiB
65, 7 %, 23500 MiB
64, 13 %, 23661 MiB
65, 23 %, 23982 MiB
72, 95 %, 23985 MiB
70, 84 %, 24018 MiB
73, 92 %, 24047 MiB
69, 45 %, 24047 MiB
67, 20 %, 24017 MiB
67, 22 %, 24044 MiB
67, 33 %, 24014 MiB
66, 19 %, 24043 MiB
66, 25 %, 24016 MiB
67, 26 %, 24017 MiB
71, 31 %, 24049 MiB
73, 94 %, 24031 MiB
72, 96 %, 24030 MiB
75, 94 %, 24002 MiB
75, 91 %, 24035 MiB
76, 94 %, 24042 MiB
75, 91 %, 24030 MiB
76, 87 %, 24021 MiB
77, 85 %, 23985 MiB
78, 84 %, 23984 MiB
78, 89 %, 23980 MiB
79, 91 %, 23980 MiB
77, 91 %, 23980 MiB
79, 89 %, 23980 MiB
80, 93 %, 23980 MiB
81, 86 %, 23980 MiB
80, 90 %, 23980 MiB
80, 88 %, 23980 MiB
81, 92 %, 23980 MiB
82, 86 %, 23980 MiB
83, 87 %, 23585 MiB
83, 93 %, 23636 MiB
82, 91 %, 23636 MiB
84, 90 %, 23594 MiB
83, 91 %, 23580 MiB
84, 86 %, 23576 MiB
85, 92 %, 23598 MiB
85, 92 %, 23737 MiB
84, 93 %, 23805 MiB
86, 84 %, 23770 MiB
85, 93 %, 23777 MiB
86, 92 %, 23758 MiB
85, 92 %, 23723 MiB
86, 88 %, 23717 MiB
86, 85 %, 23721 MiB
87, 88 %, 23784 MiB
87, 87 %, 23943 MiB
84, 91 %, 24051 MiB
87, 94 %, 24052 MiB
86, 91 %, 23991 MiB
86, 93 %, 24021 MiB
88, 87 %, 24020 MiB
88, 92 %, 23989 MiB
87, 90 %, 23989 MiB
88, 88 %, 23988 MiB
87, 91 %, 24018 MiB
86, 98 %, 24049 MiB
88, 96 %, 24053 MiB
87, 88 %, 24053 MiB
86, 94 %, 24058 MiB
87, 91 %, 23814 MiB
86, 94 %, 23810 MiB
88, 95 %, 23787 MiB
87, 93 %, 23780 MiB
88, 90 %, 23729 MiB
86, 95 %, 23731 MiB
87, 89 %, 23728 MiB
86, 90 %, 23805 MiB
88, 89 %, 23800 MiB
86, 92 %, 23799 MiB
88, 86 %, 23852 MiB
87, 84 %, 23826 MiB
87, 90 %, 23815 MiB
87, 95 %, 23795 MiB
87, 95 %, 23809 MiB
86, 90 %, 23822 MiB
